Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;200;0.59;367.69;274.76;368.70;275.69;0.40;0.61;0.07;0.93;;23
filler-1_corrected;;0;;1;0;1;1;0;;200;0.40;424.28;306.26;424.41;306.39;0.46;0.54;0.03;0.97;;23
filler-2;;1;;1;1;1;1;1;;37;0.73;289.49;265.28;289.55;265.28;0.51;0.49;0.19;0.81;;4
filler-2_corrected;;0;;1;0;1;1;1;;37;0.57;272.73;311.01;277.15;311.30;0.54;0.46;0.14;0.86;;4
japanese-translation;;1;;1;1;1;1;1;;19;0.89;192.75;211.35;197.85;218.00;0.47;0.53;0.47;0.53;;2
japanese-translation_corrected;;1;;1;1;1;1;1;;19;0.84;168.34;265.78;168.48;272.17;0.26;0.74;0.37;0.63;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;0;;156;0.08;459.12;268.32;459.23;268.87;0.65;0.35;0.03;0.97;;18
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;0;;156;0.04;418.95;284.55;418.97;285.74;0.83;0.17;0.03;0.97;;18
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;46;0.80;173.82;271.16;173.88;273.04;0.98;0.02;0.15;0.85;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;0;0;0;;46;0.61;175.07;303.32;179.23;303.99;0.98;0.02;0.04;0.96;;7
