Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;428;0.90;232.48;110.29;234.49;111.74;0.89;0.11;0.43;0.57;;14
filler-1_corrected;;0;;1;0;1;1;0;;428;0.60;272.48;271.34;272.50;278.79;0.94;0.06;0.33;0.67;;14
filler-2;;1;;1;1;1;1;1;;259;1.00;198.09;98.23;203.55;98.90;0.78;0.22;0.51;0.49;;9
filler-2_corrected;;1;;1;1;1;1;1;;259;0.78;232.71;191.21;239.33;195.50;0.90;0.10;0.41;0.59;;9
japanese-translation;;1;;1;1;1;1;1;;42;0.95;218.29;108.99;231.44;109.70;0.86;0.14;0.14;0.86;;1
japanese-translation_corrected;;1;;1;1;1;1;1;;42;0.90;416.51;458.08;439.92;468.29;0.88;0.12;0.12;0.88;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;218;0.96;168.01;146.73;168.20;147.56;0.72;0.28;0.03;0.97;;7
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;0;;218;0.49;682.43;984.96;687.33;996.73;0.99;0.01;0.03;0.97;;7
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;113;0.97;197.49;184.25;208.63;187.06;0.88;0.12;0.35;0.65;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;1;1;0;;113;0.82;232.17;537.02;240.09;555.52;0.96;0.04;0.26;0.74;;7
