64;204;472
137;411;190
222;553;16
286;670;-78
396;711;-74
462;753;12
553;763;89
624;770;211
754;736;156
821;723;173
916;726;271
988;750;418
1056;748;486
1164;755;469
1234;738;433
1297;689;416
1370;693;407
1450;752;451
1547;890;546
1616;917;534
1741;872;495
1802;862;501
1880;854;458
1942;923;498
2021;980;479
2079;1074;657
2148;1131;759
2221;1121;788
2308;1151;726
2373;1143;687
2436;1130;708
2510;1069;664
2582;1121;783
2645;1179;923
2724;1247;1017
2864;1191;906
2936;1187;711
3028;1201;776
3124;1236;797
3206;1247;897
3272;1271;837
3367;1259;797
3452;1263;741
3532;1217;687
3601;1175;652
3703;1095;597
3768;1056;573
3854;930;543
3950;810;561
4064;659;569
4144;626;563
4224;639;499
4302;679;415
4382;678;470
4469;668;488
4538;651;574
