Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;60;1.00;174.36;133.07;176.98;133.76;0.48;0.52;0.72;0.28;;8
filler-1_corrected;;1;;1;1;1;1;1;;60;1.00;178.58;131.21;179.35;131.93;0.55;0.45;0.80;0.20;;8
filler-2;;1;;1;1;1;1;1;;48;1.00;244.24;166.17;268.44;171.37;0.42;0.58;0.46;0.54;;6
filler-2_corrected;;1;;1;1;1;1;1;;48;1.00;317.49;197.61;331.28;200.00;0.42;0.58;0.46;0.54;;6
japanese-translation;;0;;1;1;0;0;0;;13;1.00;70.45;78.24;70.54;90.07;1.00;0.00;0.31;0.69;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;13;1.00;70.78;84.95;77.15;97.42;1.00;0.00;0.62;0.38;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;138;1.00;276.59;77.02;277.87;77.23;0.45;0.55;0.03;0.97;;17
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;138;0.97;346.30;109.35;346.30;111.87;0.41;0.59;0.09;0.91;;17
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;1;;56;0.98;171.18;130.42;171.35;131.31;0.84;0.16;0.39;0.61;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;56;0.98;200.27;135.23;200.83;135.36;0.79;0.21;0.55;0.45;;7
