Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;35;0.94;326.45;122.74;356.65;122.75;0.34;0.66;0.20;0.80;;2
filler-1_corrected;;1;;1;1;1;1;1;;35;0.91;504.00;145.72;544.05;145.78;0.51;0.49;0.29;0.71;;2
filler-2;;0;;0;1;0;0;0;;3;1.00;17.59;15.69;17.67;16.04;1.00;0.00;1.00;0.00;;0
filler-2_corrected;;0;;0;1;0;0;0;;3;1.00;25.47;16.57;25.78;17.05;1.00;0.00;1.00;0.00;;0
FULL_BAY_IrishRecipe_cell4;;1;;1;1;1;1;1;;68;0.66;428.21;138.19;435.98;138.89;0.38;0.62;0.59;0.41;;4
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;1;1;1;;68;0.56;487.50;133.63;496.32;134.81;0.46;0.54;0.75;0.25;;4
XXX-translation-1;;0;;1;1;0;0;0;;23;1.00;151.24;139.89;156.04;153.87;0.00;1.00;0.74;0.26;;1
XXX-translation-1_corrected;;0;;1;1;1;1;0;;23;0.96;250.24;152.16;263.22;169.13;0.09;0.91;0.78;0.22;;1
3_SHELVES_IrishRecipe_cell4;;0;;1;0;1;1;0;;85;0.48;519.02;127.71;522.06;127.74;0.04;0.96;0.15;0.85;;5
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;85;0.44;670.48;113.03;670.48;113.03;0.04;0.96;0.26;0.74;;5
XXX-translation-2;;0;;1;1;1;1;0;;19;0.68;425.64;179.61;507.17;205.19;0.00;1.00;0.68;0.32;;2
XXX-translation-2_corrected;;0;;1;1;1;1;0;;19;0.68;567.87;152.58;673.38;174.94;0.00;1.00;0.68;0.32;;2
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;1;;1;1;1;1;1;;72;1.00;126.66;111.18;126.99;117.48;0.11;0.89;0.81;0.19;;6
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;72;1.00;160.12;114.61;160.16;122.15;0.21;0.79;0.86;0.14;;6
