Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;0;0;0;;122;0.83;458.12;105.36;479.91;105.48;0.22;0.78;1.00;0.00;;17
prod_cell1_corrected;;0;;1;1;1;1;0;;122;0.84;720.08;596.27;737.56;604.06;0.52;0.48;0.99;0.01;;17
task2_prod_cell1;;0;;1;1;0;0;0;;115;1.00;111.50;66.69;111.92;66.80;0.17;0.83;1.00;0.00;;16
task2_prod_cell1_corrected;;0;;1;0;0;0;0;;115;0.65;2234.62;73.40;2264.55;73.58;0.93;0.07;1.00;0.00;;16
Cell1_22_Yokids_CherryBerryBase;;1;;1;1;1;1;1;;191;0.98;154.93;886.09;155.33;1113.22;0.31;0.69;0.58;0.42;;26
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;0;1;1;1;;191;0.63;1926.57;861.44;1933.78;985.14;0.48;0.52;0.62;0.38;;26
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;15;1.00;114.27;33.11;115.07;33.35;0.73;0.27;1.00;0.00;;4
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;0;1;1;0;;15;0.53;175560.88;561.23;181686.65;575.38;0.33;0.67;1.00;0.00;;4
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;12;1.00;52.46;35.51;54.11;36.38;0.92;0.08;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;0;0;0;0;;12;0.33;4369.84;148.81;4490.22;163.51;0.67;0.33;1.00;0.00;;2
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;11;1.00;28.79;23.90;28.83;25.94;0.82;0.18;1.00;0.00;;2
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;0;0;0;0;;11;0.55;701.55;69.21;704.30;78.26;0.73;0.27;1.00;0.00;;2
peapodB;;0;;1;1;0;0;0;;32;1.00;83.98;39.11;83.99;40.89;0.53;0.47;1.00;0.00;;4
peapodB_corrected;;0;;1;0;1;1;0;;32;0.34;8371.09;534.50;8371.09;535.00;0.91;0.09;0.97;0.03;;4
TargetC;;0;;1;1;0;0;0;;29;1.00;56.31;32.29;58.01;33.17;0.55;0.45;1.00;0.00;;5
TargetC_corrected;;0;;1;0;1;1;0;;29;0.14;12856.15;1147.58;12878.50;1150.82;0.93;0.07;0.97;0.03;;5
