Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;1;1;0;;604;0.95;255.92;695.04;257.67;696.82;0.16;0.84;1.00;0.00;;60
prod_cell1_corrected;;0;;1;0;1;1;0;;604;0.64;12826.51;2032.52;12854.47;2032.74;0.28;0.72;0.92;0.08;;60
task2_prod_cell1;;1;;1;1;1;1;1;;618;1.00;162.07;1638.58;162.09;1644.57;0.31;0.69;0.54;0.46;;60
task2_prod_cell1_corrected;;1;;1;1;1;1;1;;618;0.69;18231.59;2681.13;18248.09;2681.50;0.44;0.56;0.54;0.46;;60
Cell1_11_Light_Fit_vanilla;;1;;1;1;1;1;1;;593;0.99;247.38;1941.75;247.83;2143.98;0.46;0.54;0.67;0.33;;60
Cell1_11_Light_Fit_vanilla_corrected;;1;;1;1;1;1;1;;593;0.94;11227.06;2334.79;11235.28;2506.86;0.46;0.54;0.66;0.34;;60
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;55;1.00;137.80;58.82;138.62;62.85;0.24;0.76;1.00;0.00;;5
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;55;0.93;516.49;89.14;535.90;92.19;0.62;0.38;1.00;0.00;;5
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;12;1.00;95.95;52.57;96.22;52.76;0.75;0.25;1.00;0.00;;1
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;12;1.00;37.74;7.01;37.90;7.34;0.00;1.00;1.00;0.00;;1
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;41;0.98;172.65;93.11;178.08;93.20;0.24;0.76;1.00;0.00;;5
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;41;0.98;369.33;64.66;387.49;67.71;0.61;0.39;1.00;0.00;;5
peapodB;;1;;1;1;1;1;1;;584;0.95;259.56;1318.04;268.28;1318.24;0.58;0.42;0.54;0.46;;60
peapodB_corrected;;1;;1;1;1;1;1;;584;0.92;1727.87;1301.60;1727.89;1301.62;0.28;0.72;0.52;0.48;;60
TargetC;;0;;1;1;0;0;0;;37;1.00;208.78;126.81;217.27;126.87;0.78;0.22;1.00;0.00;;4
TargetC_corrected;;0;;1;1;0;0;0;;37;0.86;925.34;331.81;926.43;333.03;0.35;0.65;1.00;0.00;;4
