Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;95;0.19;147.79;156.04;148.84;159.04;0.00;1.00;0.00;1.00;;16
filler-1_corrected;;0;;1;1;1;1;0;;95;0.89;1239.39;167.30;1239.49;167.45;0.68;0.32;0.94;0.06;;16
filler-2;;0;;1;0;1;1;0;;80;0.00;169.04;185.05;170.63;186.92;0.00;1.00;0.03;0.98;;12
filler-2_corrected;;0;;1;1;0;1;0;;80;0.91;304.53;86.09;318.20;89.58;0.39;0.61;1.00;0.00;;12
japanese-translation;;0;;0;0;0;0;0;;9;0.00;63.62;54.62;63.67;54.62;0.00;1.00;0.00;1.00;;1
japanese-translation_corrected;;0;;0;1;0;0;0;;9;1.00;59.08;19.47;59.10;19.50;0.00;1.00;1.00;0.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;0;;97;0.03;258.03;116.08;258.69;116.65;0.00;1.00;0.00;1.00;;15
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;0;0;1;;97;1.00;148.49;68.37;151.83;72.87;0.88;0.12;0.79;0.21;;15
20170206-VL-Japan-3d-cell4;;0;;1;0;0;0;0;;29;0.00;107.16;115.95;108.16;122.95;0.00;1.00;0.00;1.00;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;29;1.00;115.59;37.78;115.98;37.90;0.83;0.17;1.00;0.00;;7
