Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;120;0.73;223.13;143.63;238.81;144.77;0.13;0.87;0.98;0.03;;8
filler-1_corrected;;0;;1;1;1;1;0;;120;0.97;175.86;185.09;177.93;186.16;0.62;0.38;0.08;0.92;;8
filler-2;;0;;1;0;1;1;0;;76;0.21;216.46;350.43;218.10;350.64;0.42;0.58;0.96;0.04;;5
filler-2_corrected;;0;;1;1;1;1;0;;76;0.93;328.53;202.13;344.60;206.01;0.87;0.13;0.09;0.91;;5
japanese-translation;;0;;1;0;0;0;0;;30;0.00;55.03;144.54;55.05;153.71;0.00;1.00;1.00;0.00;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;30;1.00;33.08;2.69;33.58;2.72;1.00;0.00;0.00;1.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;1;;698;0.49;518.19;422.20;551.83;423.76;0.24;0.76;0.28;0.72;;48
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;698;0.95;497.36;138.44;497.68;138.45;0.97;0.03;0.98;0.02;;48
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;67;0.70;356.02;710.53;358.86;747.65;0.07;0.93;0.97;0.03;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;67;0.84;1848.46;101.64;1895.11;104.27;0.81;0.19;0.96;0.04;;7
