Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;58;0.09;261.72;444.86;267.73;448.42;0.50;0.50;0.07;0.93;;5
filler-1_corrected;;0;;1;0;0;0;0;;58;0.00;87.16;103.68;88.30;103.71;0.00;1.00;1.00;0.00;;5
filler-2;;0;;1;0;1;1;0;;47;0.00;162.31;212.50;162.77;213.16;0.96;0.04;0.00;1.00;;4
filler-2_corrected;;0;;1;0;0;0;0;;47;0.00;15.72;33.78;15.80;33.92;0.00;1.00;1.00;0.00;;4
japanese-translation;;0;;1;0;0;0;0;;19;0.00;55.57;168.67;55.70;176.03;0.79;0.21;0.00;1.00;;2
japanese-translation_corrected;;0;;1;0;0;0;0;;19;0.00;13.22;20.09;13.89;21.03;0.00;1.00;1.00;0.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;0;;66;0.12;218.21;358.14;218.86;375.96;0.32;0.68;0.02;0.98;;6
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;66;0.98;350.07;181.99;356.33;184.45;0.98;0.02;0.08;0.92;;6
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;41;0.85;257.23;207.02;257.73;207.80;0.61;0.39;0.02;0.98;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;41;0.98;177.80;83.77;184.26;84.93;0.98;0.02;0.78;0.22;;7
