Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;21;1.00;169.08;117.82;169.41;125.75;0.81;0.19;0.14;0.86;;4
filler-1_corrected;;1;;1;1;1;1;1;;21;0.81;384.42;385.49;398.03;390.84;0.81;0.19;0.38;0.62;;4
filler-2;;0;;1;1;0;0;0;;17;1.00;150.77;102.70;151.12;104.98;0.59;0.41;0.06;0.94;;3
filler-2_corrected;;1;;1;1;1;1;1;;17;0.82;1482.49;1927.50;1576.45;2033.96;0.71;0.29;0.71;0.29;;3
FULL_BAY_IrishRecipe_cell4;;1;;1;1;1;1;1;;41;1.00;86.58;94.36;87.66;94.37;0.68;0.32;0.32;0.68;;8
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;41;0.61;101.66;110.61;101.66;113.29;0.98;0.02;0.93;0.07;;8
XXX-translation-1;;0;;1;1;0;0;0;;11;1.00;146.64;57.40;150.39;58.70;0.91;0.09;0.82;0.18;;2
XXX-translation-1_corrected;;0;;1;1;0;0;0;;11;1.00;120.82;41.45;124.15;41.45;1.00;0.00;1.00;0.00;;2
3_SHELVES_IrishRecipe_cell4;;1;;1;1;1;1;1;;44;1.00;207.71;174.19;208.64;176.26;0.68;0.32;0.55;0.45;;7
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;44;0.95;212.97;202.05;216.50;224.26;0.91;0.09;0.86;0.14;;7
XXX-translation-2;;0;;1;1;0;0;1;;18;1.00;142.56;78.49;152.09;78.51;0.67;0.33;0.72;0.28;;3
XXX-translation-2_corrected;;0;;1;1;1;1;0;;18;0.94;333.68;113.18;355.47;117.29;0.89;0.11;0.94;0.06;;3
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;1;;58;1.00;181.25;82.78;183.36;83.33;0.40;0.60;0.38;0.62;;10
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;58;0.90;611.31;353.99;650.39;367.03;0.64;0.36;0.84;0.16;;10
