Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;259;0.99;130.91;94.13;131.50;94.24;0.12;0.88;0.27;0.73;;10
filler-1_corrected;;0;;1;0;1;1;1;;259;0.55;503.48;143.67;514.97;145.28;0.87;0.13;0.82;0.18;;10
filler-2;;1;;1;1;0;1;1;;25;1.00;115.92;95.72;120.05;98.81;0.12;0.88;0.32;0.68;;1
filler-2_corrected;;0;;1;0;1;1;1;;25;0.60;428.35;142.98;430.88;146.87;0.80;0.20;0.76;0.24;;1
japanese-translation;;0;;1;1;0;0;0;;37;1.00;64.91;35.28;65.12;35.42;0.41;0.59;0.05;0.95;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;37;0.73;160.93;71.76;161.20;72.79;1.00;0.00;0.84;0.16;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;66;1.00;138.46;62.33;141.01;62.54;0.18;0.82;0.02;0.98;;3
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;66;0.94;371.09;132.41;371.13;134.12;0.64;0.36;0.64;0.36;;3
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;89;0.99;127.44;106.30;127.67;106.44;0.62;0.38;0.02;0.98;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;89;0.88;428.31;164.85;433.07;164.87;0.84;0.16;0.26;0.74;;7
