Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;0;0;0;;122;1.00;225.73;192.83;233.72;193.91;0.42;0.58;1.00;0.00;;11
prod_cell1_corrected;;0;;1;1;1;1;0;;122;0.67;514.02;2405.54;514.58;2459.08;0.51;0.49;1.00;0.00;;11
task2_prod_cell1;;1;;1;1;1;1;1;;749;0.94;301.29;1082.94;308.54;1109.23;0.51;0.49;0.75;0.25;;53
task2_prod_cell1_corrected;;1;;1;1;1;1;1;;749;0.81;1523.21;1508.93;1536.68;1560.30;0.48;0.52;0.74;0.26;;53
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;55;0.98;264.54;120.69;290.27;120.85;0.76;0.24;1.00;0.00;;4
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;55;0.85;493.55;241.78;494.12;244.99;0.60;0.40;1.00;0.00;;4
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;11;1.00;87.12;41.25;87.79;41.59;1.00;0.00;1.00;0.00;;1
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;11;0.82;261.18;75.75;265.18;75.75;1.00;0.00;1.00;0.00;;1
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;14;1.00;37.51;44.73;37.87;45.11;1.00;0.00;1.00;0.00;;1
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;0;0;0;0;;14;0.43;151.58;77.62;157.66;77.75;1.00;0.00;1.00;0.00;;1
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;18;1.00;82.95;60.66;87.73;60.88;1.00;0.00;1.00;0.00;;1
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;18;0.94;180.22;86.15;182.10;87.47;0.94;0.06;1.00;0.00;;1
peapodB;;1;;1;1;1;1;1;;397;0.79;289.87;1083.39;289.99;1174.12;0.87;0.13;0.76;0.24;;31
peapodB_corrected;;0;;1;0;1;1;1;;397;0.64;618.56;1144.65;624.91;1240.95;0.68;0.32;0.78;0.22;;31
TargetC;;1;;1;1;1;1;1;;248;1.00;215.42;1633.00;216.19;1637.39;0.83;0.17;0.67;0.33;;19
TargetC_corrected;;1;;1;1;1;1;1;;248;0.78;596.06;1825.50;605.92;1827.64;0.69;0.31;0.63;0.37;;19
