Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;476;0.95;324.72;118.98;336.73;120.52;0.47;0.53;0.82;0.18;;16
filler-1_corrected;;1;;1;1;1;1;1;;476;0.98;254.09;161.01;257.40;167.65;0.61;0.39;0.79;0.21;;16
filler-2;;0;;1;1;1;1;0;;350;0.85;264.36;108.94;264.38;114.29;0.65;0.35;1.00;0.00;;12
filler-2_corrected;;0;;1;1;1;1;0;;350;1.00;171.54;105.04;173.02;112.35;0.86;0.14;0.98;0.02;;12
japanese-translation;;0;;1;1;0;0;0;;30;1.00;27.27;21.67;27.49;21.97;1.00;0.00;1.00;0.00;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;30;1.00;15.06;16.05;15.15;16.60;1.00;0.00;1.00;0.00;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;137;1.00;359.10;81.15;429.69;81.31;0.39;0.61;0.98;0.02;;5
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;137;1.00;276.01;91.67;305.13;92.30;0.45;0.55;1.00;0.00;;5
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;134;0.98;237.82;257.98;238.51;284.04;0.84;0.16;0.72;0.28;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;134;0.82;605.45;2059.98;607.09;2066.02;0.87;0.13;0.69;0.31;;7
