Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
task2_prod_cell1;;0;;1;1;0;0;0;;391;0.99;224.44;448.31;228.48;451.72;0.24;0.76;1.00;0.00;;19
task2_prod_cell1_corrected;;0;;1;1;1;1;0;;391;0.77;2189.56;4852.75;2190.79;4854.46;0.31;0.69;0.95;0.05;;19
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;65;1.00;233.52;54.75;233.84;54.85;0.35;0.65;1.00;0.00;;3
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;1;0;;65;0.72;746.58;650.43;746.87;681.25;0.35;0.65;0.98;0.02;;3
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;52;1.00;159.47;47.70;165.98;49.65;0.38;0.62;1.00;0.00;;3
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;52;0.96;362.28;248.96;372.29;252.57;0.58;0.42;1.00;0.00;;3
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;45;1.00;181.60;29.98;181.65;30.01;0.44;0.56;1.00;0.00;;3
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;45;0.89;408.05;214.68;408.76;223.10;0.51;0.49;1.00;0.00;;3
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;39;1.00;201.56;41.04;203.53;41.05;0.38;0.62;1.00;0.00;;2
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;39;0.95;333.80;292.64;333.84;303.75;0.36;0.64;1.00;0.00;;2
TargetC;;1;;1;1;1;1;1;;591;1.00;173.92;1660.88;173.94;1671.90;0.16;0.84;0.51;0.49;;30
TargetC_corrected;;1;;1;1;1;1;1;;591;0.87;415.45;1760.82;417.97;1776.19;0.21;0.79;0.48;0.52;;30
peapodB;;1;;1;1;1;1;1;;450;0.99;197.90;819.89;197.92;840.53;0.26;0.74;0.71;0.29;;25
peapodB_corrected;;1;;1;1;1;1;1;;450;0.82;1199.20;4454.36;1203.18;4458.53;0.29;0.71;0.66;0.34;;25
