Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
keyvisuals_01_de;;1;;1;1;1;1;1;;161;0,99;201,84;161,35;205,33;161,40;0,52;0,48;0,47;0,53;;10
keyvisuals_01_de_corrected;;1;;1;1;1;1;1;;161;0,84;190,44;241,93;198,99;242,71;0,43;0,57;0,78;0,22;;10
keyvisuals_02_de;;1;;1;1;1;1;1;;166;0,95;239,48;166,83;239,69;167,38;0,67;0,33;0,47;0,53;;10
keyvisuals_02_de_corrected;;1;;1;1;1;1;1;;166;0,90;212,63;273,66;213,43;278,18;0,65;0,35;0,73;0,27;;10
keyvisuals_03_de;;1;;1;1;1;1;1;;167;0,94;246,62;163,35;248,78;163,82;0,58;0,42;0,48;0,52;;10
keyvisuals_03_de_corrected;;1;;1;1;1;1;1;;167;0,83;206,47;221,66;206,68;221,71;0,56;0,44;0,81;0,19;;10
DE_Video_cz;;1;;1;1;1;1;1;;232;0,98;253,24;242,47;255,21;244,57;0,74;0,26;0,30;0,70;;15
DE_Video_cz_corrected;;1;;1;1;1;1;1;;232;0,85;240,40;333,96;242,07;334,12;0,72;0,28;0,59;0,41;;15
