1072;0.785;0.005;0.032;0.124;0.023;0.001;0.030;
1501;0.548;0.006;0.031;0.372;0.018;0.002;0.022;
1579;0.521;0.009;0.062;0.335;0.005;0.006;0.063;
1636;0.622;0.008;0.077;0.232;0.005;0.003;0.053;
1720;0.609;0.006;0.050;0.263;0.007;0.002;0.063;
1787;0.784;0.012;0.045;0.105;0.006;0.003;0.045;
1843;0.781;0.007;0.067;0.081;0.004;0.002;0.059;
1918;0.711;0.006;0.084;0.092;0.005;0.001;0.101;
1988;0.611;0.007;0.080;0.208;0.008;0.003;0.084;
2040;0.724;0.007;0.101;0.098;0.003;0.002;0.064;
2116;0.579;0.010;0.071;0.214;0.005;0.004;0.118;
2182;0.510;0.012;0.095;0.214;0.004;0.006;0.159;
2243;0.416;0.007;0.057;0.422;0.007;0.004;0.088;
2308;0.589;0.010;0.078;0.233;0.005;0.005;0.080;
2375;0.564;0.009;0.097;0.214;0.005;0.005;0.106;
2455;0.455;0.010;0.108;0.357;0.004;0.005;0.060;
2515;0.634;0.009;0.130;0.096;0.003;0.004;0.124;
2591;0.543;0.011;0.102;0.269;0.004;0.005;0.065;
2644;0.429;0.012;0.106;0.257;0.005;0.007;0.184;
2708;0.239;0.006;0.056;0.669;0.002;0.003;0.026;
2775;0.166;0.005;0.035;0.744;0.005;0.002;0.044;
2851;0.461;0.006;0.088;0.339;0.006;0.005;0.094;
2935;0.537;0.005;0.056;0.361;0.007;0.003;0.032;
3003;0.578;0.008;0.089;0.074;0.003;0.004;0.245;
3063;0.727;0.006;0.084;0.088;0.004;0.002;0.088;
3108;0.430;0.007;0.093;0.382;0.005;0.003;0.080;
3183;0.405;0.008;0.076;0.440;0.004;0.003;0.064;
3262;0.549;0.009;0.098;0.212;0.004;0.004;0.124;
3315;0.630;0.012;0.103;0.153;0.003;0.005;0.095;
3380;0.773;0.007;0.075;0.070;0.004;0.003;0.068;
3445;0.636;0.010;0.044;0.278;0.003;0.003;0.026;
3508;0.719;0.018;0.063;0.157;0.001;0.007;0.035;
3591;0.712;0.007;0.072;0.171;0.003;0.003;0.032;
3651;0.765;0.008;0.065;0.062;0.004;0.004;0.092;
3721;0.548;0.009;0.038;0.386;0.005;0.002;0.013;
3787;0.807;0.010;0.050;0.060;0.004;0.002;0.066;
3849;0.810;0.006;0.068;0.061;0.002;0.003;0.049;
3917;0.701;0.009;0.062;0.182;0.005;0.002;0.039;
3987;0.634;0.011;0.038;0.262;0.006;0.004;0.046;
4051;0.765;0.006;0.064;0.089;0.006;0.002;0.068;
4133;0.686;0.010;0.056;0.189;0.004;0.002;0.053;
4204;0.589;0.008;0.101;0.265;0.005;0.003;0.029;
4255;0.370;0.006;0.063;0.527;0.004;0.002;0.030;
4342;0.247;0.004;0.026;0.707;0.005;0.001;0.011;
4407;0.392;0.005;0.042;0.497;0.020;0.002;0.042;
4458;0.607;0.007;0.086;0.198;0.006;0.003;0.092;
4515;0.421;0.005;0.062;0.456;0.007;0.002;0.048;
4590;0.266;0.014;0.122;0.432;0.005;0.006;0.155;
4644;0.438;0.011;0.090;0.349;0.004;0.006;0.102;
