Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;1;1;0;;820;1.00;205.69;761.07;207.40;776.01;0.27;0.73;0.94;0.06;;60
prod_cell1_corrected;;0;;1;1;1;1;0;;820;1.00;282.83;1383.00;285.27;1388.96;0.43;0.57;0.93;0.07;;60
task2_prod_cell1;;1;;1;1;1;1;1;;875;1.00;264.12;1009.56;264.36;1082.63;0.40;0.60;0.77;0.23;;60
task2_prod_cell1_corrected;;1;;1;1;1;1;1;;875;0.98;294.89;1010.45;295.00;1084.92;0.54;0.46;0.79;0.21;;60
Cell1_21_Light_Fit_Strawberry;;1;;1;1;1;1;1;;507;0.97;394.92;964.23;398.98;977.41;0.54;0.46;0.85;0.15;;37
Cell1_21_Light_Fit_Strawberry_corrected;;1;;1;1;1;1;1;;507;0.94;499.43;1065.96;508.67;1082.56;0.61;0.39;0.88;0.12;;37
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;40;1.00;268.80;201.46;304.69;216.25;0.30;0.70;1.00;0.00;;3
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;40;1.00;318.87;209.07;360.17;226.15;0.38;0.63;1.00;0.00;;3
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;27;1.00;191.03;166.94;216.69;182.71;0.56;0.44;1.00;0.00;;2
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;27;1.00;221.85;171.87;252.17;187.41;0.70;0.30;1.00;0.00;;2
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;15;1.00;128.17;83.82;130.57;83.82;0.80;0.20;1.00;0.00;;1
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;15;1.00;149.44;86.80;152.00;86.83;0.87;0.13;1.00;0.00;;1
peapodB;;0;;1;1;1;1;0;;366;0.98;265.20;505.91;267.50;523.03;0.31;0.69;1.00;0.00;;25
peapodB_corrected;;0;;1;1;1;1;0;;366;0.98;316.22;538.05;317.22;552.44;0.48;0.52;0.99;0.01;;25
TargetC;;0;;1;1;0;0;0;;82;1.00;229.01;129.98;229.58;130.93;0.65;0.35;1.00;0.00;;6
TargetC_corrected;;0;;1;1;0;0;0;;82;1.00;236.63;126.35;238.05;126.57;0.79;0.21;1.00;0.00;;6
