43;0.414;0.007;0.019;0.543;0.011;0.001;0.005;
111;0.454;0.008;0.031;0.466;0.010;0.002;0.028;
169;0.252;0.011;0.010;0.708;0.013;0.001;0.005;
224;0.357;0.022;0.014;0.593;0.008;0.001;0.005;
299;0.461;0.006;0.044;0.475;0.004;0.001;0.009;
358;0.290;0.004;0.021;0.672;0.006;0.001;0.006;
427;0.382;0.007;0.036;0.563;0.004;0.001;0.007;
500;0.222;0.005;0.017;0.745;0.005;0.001;0.005;
562;0.574;0.023;0.024;0.359;0.007;0.002;0.011;
625;0.382;0.015;0.115;0.447;0.004;0.006;0.032;
691;0.519;0.011;0.084;0.345;0.003;0.004;0.034;
754;0.270;0.011;0.019;0.686;0.002;0.001;0.010;
817;0.094;0.006;0.012;0.880;0.002;0.001;0.006;
884;0.122;0.004;0.006;0.841;0.020;0.002;0.005;
962;0.307;0.004;0.031;0.644;0.005;0.001;0.008;
1026;0.314;0.008;0.021;0.646;0.003;0.001;0.007;
1104;0.653;0.005;0.046;0.275;0.006;0.001;0.013;
1155;0.320;0.005;0.064;0.584;0.004;0.002;0.021;
1217;0.490;0.005;0.044;0.437;0.006;0.001;0.017;
1299;0.331;0.005;0.021;0.629;0.005;0.002;0.007;
1363;0.169;0.003;0.035;0.781;0.003;0.001;0.007;
1442;0.327;0.006;0.088;0.547;0.004;0.002;0.025;
1508;0.342;0.007;0.074;0.543;0.003;0.002;0.029;
1559;0.101;0.004;0.054;0.829;0.001;0.001;0.009;
1617;0.188;0.004;0.040;0.757;0.002;0.001;0.008;
1702;0.409;0.008;0.097;0.423;0.005;0.004;0.055;
2160;0.441;0.005;0.054;0.471;0.004;0.001;0.024;
