Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;191;1.00;264.57;115.24;283.97;116.97;0.18;0.82;0.92;0.08;;16
filler-1_corrected;;0;;1;0;1;1;1;;191;0.30;2812.16;180.48;2825.47;180.70;0.86;0.14;0.82;0.18;;16
filler-2;;0;;1;1;0;0;0;;27;1.00;284.91;81.31;304.60;83.77;0.44;0.56;1.00;0.00;;2
filler-2_corrected;;0;;1;0;0;0;0;;27;0.30;353.32;26.42;353.33;26.43;0.96;0.04;0.96;0.04;;2
japanese-translation;;0;;1;1;1;1;0;;12;1.00;178.83;95.71;193.54;105.06;0.17;0.83;1.00;0.00;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;12;0.83;865.63;44.11;889.71;45.44;0.67;0.33;0.92;0.08;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;36;1.00;277.21;63.34;298.11;63.51;0.19;0.81;0.08;0.92;;3
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;0;0;0;;36;1.00;103.74;6.44;105.79;6.58;1.00;0.00;1.00;0.00;;3
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;46;0.80;366.49;406.36;374.32;414.63;0.37;0.63;0.22;0.78;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;46;0.93;348.20;71.76;354.77;71.91;1.00;0.00;0.98;0.02;;7
