Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
1.reference-lSRP-Right-shelf;;0;;1;1;0;0;1;;42;1.00;114.37;67.51;123.62;72.24;0.12;0.88;0.36;0.64;;2
1.reference-lSRP-Right-shelf_corrected;;0;;1;1;0;0;0;;42;0.98;249.68;57.53;256.59;58.12;0.10;0.90;0.86;0.14;;2
translation-far;;0;;1;1;0;0;0;;20;1.00;54.95;57.84;57.12;58.22;0.00;1.00;0.45;0.55;;1
translation-far_corrected;;0;;1;1;0;0;0;;20;0.90;227.26;60.96;250.47;61.13;0.00;1.00;0.85;0.15;;1
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;131;0.89;455.12;204.45;455.31;209.88;0.56;0.44;0.62;0.38;;10
1.Shabam-Marketing-reference_corrected;;1;;1;1;1;1;1;;131;0.83;818.70;283.07;829.70;286.47;0.55;0.45;0.89;0.11;;10
1.lSRP-pepper-individual;;0;;1;1;0;0;0;;53;1.00;101.54;96.13;101.63;96.25;0.04;0.96;0.85;0.15;;4
1.lSRP-pepper-individual_corrected;;0;;1;1;0;0;0;;53;0.94;277.24;63.91;285.56;66.26;0.06;0.94;0.94;0.06;;4
1-Shabam-reference-individual;;0;;1;1;0;0;0;;44;1.00;129.91;86.09;133.64;87.30;0.09;0.91;0.91;0.09;;3
1-Shabam-reference-individual_corrected;;0;;1;1;0;0;0;;44;1.00;219.61;42.83;220.21;42.91;0.16;0.84;1.00;0.00;;3
translation-individual;;0;;1;1;0;0;0;;20;1.00;89.54;40.35;90.46;41.97;0.05;0.95;1.00;0.00;;1
translation-individual_corrected;;0;;1;1;0;0;0;;20;1.00;146.81;17.28;150.86;18.11;0.25;0.75;1.00;0.00;;1
