Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;63;0.94;160.56;237.81;160.57;241.10;0.94;0.06;0.75;0.25;;8
filler-1_corrected;;0;;1;0;1;1;0;;63;0.46;504.62;215.49;507.72;216.18;1.00;0.00;0.79;0.21;;8
filler-2;;1;;1;1;1;1;1;;118;1.00;166.48;136.54;168.70;137.80;0.86;0.14;0.87;0.13;;15
filler-2_corrected;;0;;1;0;0;0;0;;118;0.51;127.14;44.91;134.36;46.30;0.97;0.03;0.77;0.23;;15
japanese-translation;;0;;1;1;0;0;0;;11;1.00;37.66;60.19;39.52;61.68;1.00;0.00;0.73;0.27;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;11;1.00;22.07;8.91;22.09;9.29;1.00;0.00;0.64;0.36;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;43;1.00;184.06;79.40;184.44;80.62;0.79;0.21;0.07;0.93;;5
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;43;0.95;628.15;150.68;654.83;157.23;0.88;0.12;0.05;0.95;;5
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;48;0.92;237.51;204.20;237.52;204.79;0.94;0.06;0.92;0.08;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;1;1;0;;48;0.92;224.28;109.11;225.88;112.74;0.98;0.02;0.92;0.08;;7
