Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;0;0;0;;210;0.70;308.85;264.75;313.03;264.85;0.29;0.71;1.00;0.00;;20
prod_cell1_corrected;;0;;1;1;0;0;0;;210;0.70;378.14;211.72;379.10;211.80;0.22;0.78;1.00;0.00;;20
task2_prod_cell1;;0;;1;0;0;0;0;;167;0.56;423.60;127.69;436.17;130.31;0.16;0.84;1.00;0.00;;12
task2_prod_cell1_corrected;;0;;1;1;1;1;0;;167;0.94;333.37;599.59;333.56;599.59;0.70;0.30;0.99;0.01;;12
Cell1_21_Light_Fit_Strawberry;;0;;1;0;0;0;0;;48;0.42;414.75;134.80;420.62;136.64;0.15;0.85;1.00;0.00;;4
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;48;1.00;96.46;63.23;97.36;64.13;0.92;0.08;1.00;0.00;;4
Cell1_11_Light_Fit_vanilla;;0;;1;0;0;0;0;;34;0.38;387.14;97.14;388.44;98.75;0.24;0.76;1.00;0.00;;3
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;34;1.00;162.39;57.31;163.02;59.66;0.82;0.18;1.00;0.00;;3
TargetC;;0;;1;0;0;0;0;;48;0.65;166.33;136.84;166.33;139.70;0.21;0.79;1.00;0.00;;4
TargetC_corrected;;0;;1;1;0;0;0;;48;0.92;756.35;252.29;763.29;252.98;0.81;0.19;1.00;0.00;;4
peapodB;;0;;1;0;0;0;0;;119;0.61;315.33;116.79;324.90;118.46;0.28;0.72;1.00;0.00;;10
peapodB_corrected;;0;;1;1;1;1;0;;119;0.87;1302.34;2580.98;1313.22;2613.96;0.81;0.19;0.99;0.01;;10
