Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;302;0.93;318.66;193.59;318.67;201.48;0.39;0.61;0.81;0.19;;17
filler-1_corrected;;1;;1;1;1;1;1;;302;0.92;2506.66;2213.34;2506.67;2213.54;0.51;0.49;0.87;0.13;;17
filler-2;;1;;1;1;1;1;1;;154;0.97;273.76;181.50;274.08;182.72;0.49;0.51;0.86;0.14;;10
filler-2_corrected;;1;;1;1;1;1;1;;154;0.96;512.56;326.49;522.79;333.73;0.58;0.42;0.89;0.11;;10
japanese-translation;;0;;1;1;0;0;1;;39;0.92;105.15;211.36;106.32;217.17;0.23;0.77;0.72;0.28;;3
japanese-translation_corrected;;1;;1;1;1;1;1;;39;0.90;743.62;1500.69;754.16;1541.29;0.44;0.56;0.85;0.15;;3
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;1;;152;0.79;398.28;82.13;401.52;82.71;0.16;0.84;0.13;0.87;;9
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;152;0.68;858.86;235.29;902.19;249.98;0.23;0.77;0.60;0.40;;9
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;1;;57;0.98;176.73;105.51;177.61;105.54;0.26;0.74;0.56;0.44;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;1;1;0;;57;0.98;201.50;112.95;204.38;113.27;0.75;0.25;0.95;0.05;;7
