Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;0;0;0;;41;0.51;156.91;206.08;160.02;208.89;0.22;0.78;0.95;0.05;;5
filler-1_corrected;;0;;1;1;0;0;0;;41;1.00;14.67;28.96;14.95;29.12;1.00;0.00;0.00;1.00;;5
filler-2;;0;;1;0;0;0;0;;30;0.10;80.16;104.85;80.29;106.29;0.20;0.80;1.00;0.00;;4
filler-2_corrected;;0;;1;1;0;0;0;;30;1.00;1.31;4.09;1.43;4.26;1.00;0.00;0.00;1.00;;4
1.reference-lSRP-Right-shelf;;1;;1;1;1;1;1;;56;0.93;266.12;138.85;287.68;140.43;0.16;0.84;0.86;0.14;;7
1.reference-lSRP-Right-shelf_corrected;;0;;1;1;1;1;0;;56;0.82;237.76;284.28;237.98;285.23;0.96;0.04;0.04;0.96;;7
translation-far;;0;;1;0;1;1;0;;23;0.57;303.27;487.22;310.34;550.53;0.00;1.00;1.00;0.00;;3
translation-far_corrected;;0;;1;1;0;0;0;;23;1.00;41.47;122.81;44.77;126.31;0.96;0.04;0.04;0.96;;3
1.Shabam-Marketing-reference;;0;;1;0;1;1;0;;148;0.30;322.86;270.54;327.63;272.37;0.41;0.59;1.00;0.00;;18
1.Shabam-Marketing-reference_corrected;;0;;1;1;0;0;0;;148;0.99;4.87;24.12;4.99;24.31;1.00;0.00;0.00;1.00;;18
translation-individual;;0;;1;0;1;1;0;;13;0.00;208.44;194.87;220.55;199.61;0.00;1.00;1.00;0.00;;1
translation-individual_corrected;;0;;1;1;0;0;0;;13;1.00;1.30;1.99;1.64;2.06;1.00;0.00;0.00;1.00;;1
1.lSRP-pepper-individual;;0;;1;0;1;1;0;;111;0.21;289.62;358.94;289.87;378.54;0.05;0.95;1.00;0.00;;14
1.lSRP-pepper-individual_corrected;;0;;1;1;0;0;0;;111;1.00;3.23;4.83;3.32;4.85;1.00;0.00;0.00;1.00;;14
1-Shabam-reference-individual;;0;;1;0;1;1;0;;58;0.10;219.48;181.40;229.53;181.42;0.00;1.00;1.00;0.00;;7
1-Shabam-reference-individual_corrected;;0;;1;1;0;0;0;;58;1.00;1.74;2.10;1.83;2.24;1.00;0.00;0.00;1.00;;7
