Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;107;0.90;256.83;386.79;258.62;387.68;0.79;0.21;0.55;0.45;;8
filler-1_corrected;;1;;1;1;1;1;1;;107;0.73;324.16;1340.89;324.57;1358.32;0.32;0.68;0.42;0.58;;8
filler-2;;0;;1;1;1;1;0;;60;1.00;174.99;122.10;175.27;123.04;0.85;0.15;0.95;0.05;;4
filler-2_corrected;;1;;1;1;1;1;1;;60;0.80;187.97;235.92;188.28;236.59;0.28;0.72;0.77;0.23;;4
FULL_BAY_IrishRecipe_cell4;;0;;1;0;0;0;0;;78;0.06;78.32;72.56;78.33;72.82;1.00;0.00;1.00;0.00;;6
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;78;0.13;117.64;170.28;117.99;170.49;0.99;0.01;1.00;0.00;;6
XXX-translation-1;;0;;1;0;0;0;0;;22;0.00;89.69;86.89;90.94;98.64;1.00;0.00;1.00;0.00;;2
XXX-translation-1_corrected;;0;;1;0;0;0;0;;22;0.00;125.46;206.08;126.88;235.96;1.00;0.00;1.00;0.00;;2
3_SHELVES_IrishRecipe_cell4;;0;;1;1;0;0;0;;31;0.97;162.52;48.57;162.60;48.57;0.03;0.97;0.00;1.00;;3
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;1;0;0;0;;31;0.97;113.56;208.27;118.41;212.34;0.03;0.97;0.97;0.03;;3
XXX-translation-2;;0;;1;1;0;0;0;;25;1.00;96.26;80.87;96.66;82.90;0.00;1.00;0.44;0.56;;2
XXX-translation-2_corrected;;0;;1;1;0;0;0;;25;1.00;54.21;47.06;57.59;48.15;0.00;1.00;1.00;0.00;;2
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;0;;49;1.00;116.42;92.24;121.39;92.26;0.00;1.00;0.20;0.80;;4
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;1;0;0;0;;49;1.00;79.88;92.85;79.90;95.65;0.00;1.00;0.90;0.10;;4
