Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;1;;773;0.99;195.21;61.38;198.37;61.74;0.32;0.68;0.76;0.24;;34
filler-1_corrected;;1;;1;1;1;1;1;;773;0.75;457.61;471.90;460.05;475.67;0.35;0.65;0.55;0.45;;34
filler-2;;0;;1;1;0;0;0;;135;0.99;126.92;43.90;126.92;45.34;0.99;0.01;0.90;0.10;;6
filler-2_corrected;;0;;1;0;1;1;0;;135;0.61;250.43;207.14;257.77;215.29;1.00;0.00;0.87;0.13;;6
japanese-translation;;0;;1;1;0;0;0;;40;1.00;127.79;69.24;135.85;74.95;0.95;0.05;0.75;0.25;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;40;0.83;125.13;374.94;127.27;407.56;1.00;0.00;0.70;0.30;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;337;0.99;308.86;128.21;308.97;128.57;0.35;0.65;0.08;0.92;;17
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;337;0.72;1161.03;233.18;1168.96;233.18;0.91;0.09;0.85;0.15;;17
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;94;1.00;100.68;68.84;101.07;68.86;0.03;0.97;0.27;0.73;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;1;1;1;;94;0.51;14491.57;2816.26;14491.74;2816.53;0.48;0.52;0.35;0.65;;7
