Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;1;;431;0.36;461.89;777.45;462.38;852.64;0.90;0.10;0.88;0.12;;16
filler-1_corrected;;0;;1;0;1;1;1;;431;0.20;1725.20;393.18;1731.16;394.28;0.11;0.89;0.10;0.90;;16
filler-2;;0;;1;0;1;1;0;;110;0.56;184.58;234.67;184.62;235.09;1.00;0.00;0.80;0.20;;4
filler-2_corrected;;0;;1;0;1;1;1;;110;0.23;6225.20;1528.19;6227.53;1528.91;0.16;0.84;0.18;0.82;;4
japanese-translation;;0;;1;1;0;0;0;;78;0.87;145.86;140.86;152.28;142.00;1.00;0.00;0.85;0.15;;3
japanese-translation_corrected;;0;;1;0;1;1;1;;78;0.26;13184.12;3525.39;13191.72;3528.01;0.58;0.42;0.56;0.44;;3
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;278;1.00;207.18;52.00;214.29;52.03;0.33;0.67;0.09;0.91;;10
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;278;0.77;7992.52;2829.96;8003.10;2834.04;0.80;0.20;0.37;0.63;;10
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;126;0.99;128.89;78.62;129.00;78.69;0.02;0.98;0.22;0.78;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;126;0.79;3432.52;1024.25;3433.56;1029.30;0.90;0.10;0.26;0.74;;7
