Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;168;0.89;236.91;229.31;237.37;231.34;0.34;0.66;0.69;0.31;;21
filler-1_corrected;;1;;1;1;1;1;1;;168;0.95;255.08;188.20;259.29;189.03;0.40;0.60;0.63;0.38;;21
filler-2;;0;;1;1;1;1;0;;18;0.94;185.55;97.67;185.55;98.80;0.44;0.56;1.00;0.00;;2
filler-2_corrected;;0;;1;1;0;0;0;;18;1.00;196.95;75.44;198.00;78.35;0.50;0.50;0.94;0.06;;2
japanese-translation;;0;;1;0;0;0;0;;10;0.40;64.00;67.58;65.15;68.53;1.00;0.00;1.00;0.00;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;10;1.00;71.46;49.99;72.36;52.64;1.00;0.00;1.00;0.00;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;175;0.86;381.48;184.92;381.64;190.29;0.62;0.38;0.09;0.91;;22
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;175;0.79;482.49;182.23;484.11;185.55;0.57;0.43;0.07;0.93;;22
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;30;0.77;1013.92;478.66;1032.60;486.71;0.77;0.23;0.40;0.60;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;30;0.77;8953.20;2478.77;9211.18;2545.75;0.80;0.20;0.37;0.63;;7
