Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;1085;0.86;203.48;108.51;203.53;109.27;0.08;0.92;0.01;0.99;;48
filler-1_corrected;;0;;1;1;1;1;0;;1085;0.71;322.82;255.88;323.20;262.93;0.15;0.85;0.07;0.93;;48
filler-2;;0;;0;0;0;0;0;;2;0.00;53.00;19.00;53.00;19.00;0.00;1.00;0.00;1.00;;0
filler-2_corrected;;0;;0;0;0;0;0;;2;0.00;48.00;175.00;48.00;175.00;0.00;1.00;0.00;1.00;;0
japanese-translation;;0;;1;1;0;0;0;;32;0.97;70.38;95.94;70.91;105.62;0.00;1.00;0.00;1.00;;1
japanese-translation_corrected;;0;;1;1;0;0;0;;32;0.91;90.89;208.73;90.93;226.44;0.00;1.00;0.00;1.00;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;0;1;1;1;;55;0.36;375.75;248.62;375.89;266.66;0.13;0.87;0.16;0.84;;2
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;1;;55;0.20;590.91;440.59;590.93;442.40;0.18;0.82;0.16;0.84;;2
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;82;0.94;152.27;159.15;153.36;159.17;0.01;0.99;0.01;0.99;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;82;0.74;184.51;423.86;185.49;428.65;0.06;0.94;0.01;0.99;;7
