Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;164;0.96;336.21;129.91;341.10;129.91;0.57;0.43;0.79;0.21;;11
filler-1_corrected;;0;;1;0;1;1;1;;164;0.60;3923.92;444.31;3934.74;445.43;0.30;0.70;0.45;0.55;;11
filler-2;;1;;1;1;0;1;1;;110;0.92;340.09;88.20;347.43;90.02;0.40;0.60;0.85;0.15;;7
filler-2_corrected;;0;;1;0;1;1;1;;110;0.52;2287.58;335.42;2287.68;340.74;0.19;0.81;0.57;0.43;;7
japanese-translation;;0;;1;1;0;0;1;;21;1.00;179.51;39.25;192.80;40.24;0.67;0.33;0.52;0.48;;1
japanese-translation_corrected;;0;;1;1;0;0;1;;21;1.00;196.62;33.84;219.33;35.92;0.14;0.86;0.14;0.86;;1
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;274;1.00;357.87;120.49;358.81;120.82;0.55;0.45;0.11;0.89;;18
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;274;0.73;1370.56;148.93;1384.78;152.17;0.21;0.79;0.62;0.38;;18
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;78;0.97;208.10;125.91;208.10;127.10;0.91;0.09;0.17;0.83;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;0;0;0;;78;0.92;408.84;78.55;435.25;80.44;0.06;0.94;0.83;0.17;;7
