Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;1074;0.96;277.00;165.66;278.70;166.82;0.43;0.57;0.86;0.14;;40
filler-1_corrected;;1;;1;1;1;1;1;;1074;0.97;273.23;157.26;274.37;160.07;0.54;0.46;0.83;0.17;;40
filler-2;;1;;1;1;1;1;1;;315;0.99;256.05;192.21;275.82;192.88;0.38;0.62;0.61;0.39;;12
filler-2_corrected;;1;;1;1;1;1;1;;315;0.97;308.18;199.12;316.48;203.06;0.42;0.58;0.57;0.43;;12
japanese-translation;;0;;1;1;0;0;0;;72;1.00;128.02;76.75;128.97;77.35;0.40;0.60;0.94;0.06;;3
japanese-translation_corrected;;0;;1;1;0;0;1;;72;1.00;158.31;78.00;160.80;79.06;0.79;0.21;0.89;0.11;;3
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;147;0.98;195.74;175.82;200.06;179.99;0.55;0.45;0.22;0.78;;5
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;147;0.94;256.31;193.18;264.04;194.69;0.66;0.34;0.20;0.80;;5
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;145;0.92;127.51;273.41;128.67;277.74;0.74;0.26;0.92;0.08;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;1;1;0;;145;0.96;258.72;425.31;263.27;433.66;0.91;0.09;0.91;0.09;;7
