Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
sequence-A-converted;;1;;1;1;1;1;1;;1092;0.95;396.32;186.72;408.00;186.81;0.41;0.59;0.89;0.11;;85
sequence-A-converted_corrected;;1;;1;1;1;1;1;;1092;0.98;398.99;181.67;416.81;181.96;0.36;0.64;0.77;0.23;;85
