Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;0;;1;1;0;0;0;;24;0.92;182.08;212.79;182.85;213.15;0.46;0.54;1.00;0.00;;11
prod_cell1_corrected;;0;;1;1;1;1;0;;24;0.79;2912.09;1129.85;2940.40;1141.38;0.63;0.38;0.92;0.08;;11
task2_prod_cell1;;0;;1;1;0;0;0;;244;0.94;301.54;452.34;313.37;456.68;0.42;0.58;1.00;0.00;;43
task2_prod_cell1_corrected;;0;;1;1;1;1;0;;244;0.88;413.63;579.16;414.98;582.22;0.49;0.51;1.00;0.00;;43
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;106;0.97;247.68;175.39;248.12;177.00;0.42;0.58;1.00;0.00;;20
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;106;0.92;328.90;357.83;333.83;358.31;0.71;0.29;1.00;0.00;;20
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;51;0.80;341.28;381.79;345.64;383.05;0.37;0.63;1.00;0.00;;9
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;1;1;0;;51;0.76;558.78;728.99;558.79;729.02;0.63;0.37;0.96;0.04;;9
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;23;1.00;225.22;136.62;225.37;143.69;0.26;0.74;1.00;0.00;;4
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;23;0.91;335.52;271.82;346.60;287.14;0.74;0.26;1.00;0.00;;4
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;24;0.96;152.94;205.51;160.33;206.63;0.08;0.92;1.00;0.00;;5
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;24;0.92;301.80;429.40;307.76;434.19;0.58;0.42;1.00;0.00;;5
TargetC;;1;;1;1;1;1;1;;225;0.91;298.24;1748.41;302.35;1920.11;0.28;0.72;0.75;0.25;;39
TargetC_corrected;;1;;1;1;1;1;1;;225;0.78;435.29;1824.30;449.42;1975.78;0.46;0.54;0.75;0.25;;39
peapodB;;1;;1;1;1;1;1;;237;0.99;257.78;1054.93;258.82;1066.15;0.38;0.62;0.69;0.31;;41
peapodB_corrected;;1;;1;1;1;1;1;;237;0.90;430.14;1145.93;430.14;1157.19;0.54;0.46;0.63;0.37;;41
