Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;471;0.97;183.44;66.82;183.46;66.88;0.85;0.15;0.94;0.06;;44
filler-1_corrected;;0;;1;1;1;1;0;;471;0.90;51556.52;33992.39;51609.37;34028.31;0.16;0.84;0.92;0.08;;44
filler-2;;1;;1;1;1;1;1;;138;1.00;135.05;102.60;137.26;107.95;0.87;0.13;0.80;0.20;;13
filler-2_corrected;;0;;1;1;1;1;0;;138;0.86;359.40;604.84;359.40;606.06;0.08;0.92;0.83;0.17;;13
japanese-translation;;0;;1;1;0;0;0;;19;1.00;71.43;35.58;73.49;36.86;1.00;0.00;1.00;0.00;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;19;1.00;88.88;40.78;91.68;41.10;0.00;1.00;1.00;0.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;1;;539;0.97;132.78;137.18;133.83;138.81;0.85;0.15;0.75;0.25;;51
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;539;0.73;3387.34;1477.55;3393.43;1481.95;0.60;0.40;0.12;0.88;;51
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;47;0.98;70.45;118.49;70.83;118.55;1.00;0.00;1.00;0.00;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;1;1;1;;47;0.23;32702.58;6992.01;32845.55;7014.13;0.87;0.13;0.23;0.77;;7
