Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;1;;1;1;1;1;1;;862;1.00;178.31;1050.61;178.52;1061.13;0.13;0.87;0.84;0.16;;60
prod_cell1_corrected;;1;;1;1;1;1;1;;862;0.91;520.94;1047.83;532.20;1053.83;0.54;0.46;0.84;0.16;;60
task2_prod_cell1;;0;;1;1;1;1;0;;882;0.97;190.55;942.45;190.66;951.57;0.04;0.96;0.78;0.22;;60
task2_prod_cell1_corrected;;1;;1;1;1;1;1;;882;0.82;594.30;942.35;596.55;953.16;0.63;0.37;0.78;0.22;;60
Cell1_22_Yokids_CherryBerryBase;;0;;1;1;0;0;0;;316;0.77;220.47;191.35;220.69;195.26;0.15;0.85;1.00;0.00;;23
Cell1_22_Yokids_CherryBerryBase_corrected;;0;;1;1;0;0;0;;316;0.94;430.48;79.84;431.69;80.67;0.66;0.34;1.00;0.00;;23
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;217;0.86;199.60;142.94;200.16;148.15;0.05;0.95;1.00;0.00;;23
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;217;0.92;379.13;89.41;400.20;89.41;0.63;0.37;1.00;0.00;;23
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;233;0.86;199.82;99.20;203.81;101.90;0.21;0.79;1.00;0.00;;25
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;233;0.96;294.19;71.61;306.24;74.65;0.76;0.24;1.00;0.00;;25
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;150;0.68;170.13;110.27;170.24;119.02;0.14;0.86;1.00;0.00;;17
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;150;0.97;242.83;54.96;253.98;56.93;0.83;0.17;1.00;0.00;;17
peapodB;;0;;1;1;1;1;0;;841;0.73;154.92;666.58;154.94;676.34;0.02;0.98;0.98;0.02;;60
peapodB_corrected;;0;;1;1;1;1;0;;841;0.94;342.10;610.34;342.68;638.83;0.45;0.55;0.94;0.06;;60
TargetC;;0;;1;0;0;0;0;;223;0.57;174.43;230.37;174.85;233.64;0.08;0.92;1.00;0.00;;23
TargetC_corrected;;0;;1;1;0;0;0;;223;0.96;314.01;134.38;314.07;135.63;0.61;0.39;1.00;0.00;;23
