34;-1308;6514
71;-1156;6894
126;-1004;7473
176;-684;7442
213;-1065;7792
257;-1324;7747
294;-1643;7518
331;-1278;7122
367;-593;6590
405;-106;6468
442;243;6696
479;304;7259
516;136;7853
552;136;8005
589;-167;7579
634;167;5083
671;289;2389
709;365;715
748;441;715
842;319;1308
920;350;1019
957;487;213
994;532;-228
1031;608;15
1069;426;791
1114;715;1171
1157;3850;10227
1201;5311;21429
1245;6361;30227
1283;2663;19436
1320;2161;8858
1358;2024;3957
1395;2328;3135
1432;2267;4276
1469;1826;4702
1514;1217;4916
1552;380;4520
1590;-304;4687
1630;-547;4672
1668;-532;5661
1765;-410;6042
1833;-700;6270
1871;-776;6483
1909;-258;5707
1946;700;5144
1992;1126;4733
2029;897;4931
2067;639;4946
2105;517;4809
2144;700;5022
2182;791;5205
2219;897;5327
2257;776;5433
2294;350;5996
2332;-15;5996
2377;-258;5616
2415;-365;5783
2452;-273;5798
2494;-350;5768
2531;-441;5585
2568;-502;5387
2605;-365;6392
2643;837;8112
2681;1598;11947
2718;2191;15159
2762;2206;16452
2801;3120;16696
2842;5920;21582
2885;14443;30592
2962;20288;38674
3002;14352;34199
3044;5220;16909
3085;1034;6346
3255;1735;395
3348;1415;1719
3394;1400;4094
3432;1719;5357
3469;1689;6742
3508;1400;6544
3546;1080;6803
3584;928;6651
3622;-1461;9619
3658;-4033;12206
3697;-6681;14900
3735;-6970;14413
3781;-7016;14276
3818;-6833;13652
3855;-6772;14306
3894;-6331;13911
3931;-6346;15052
3969;-6225;14809
4006;-6757;15585
4044;-6590;14626
4080;-6483;14626
4118;-6498;14748
4163;-7107;15570
4235;-7792;16331
4274;-6255;15372
4311;-3896;18629
4349;-593;12617
4387;639;7290
4426;806;471
4463;867;334
4576;1293;1248
4652;1795;1567
4697;1537;3394
4735;-867;8066
4772;-3576;12160
4834;-5022;14641
4871;-4063;14809
4909;-1034;14793
4948;578;16331
4986;882;17061
5023;-2115;17655
5062;-3120;17366
5106;-4961;16848
5144;-6011;17198
5182;-8097;16894
5219;-8751;17031
5255;-8188;16178
5294;-7199;15387
5332;-6209;14489
5369;-4748;14763
5425;-2967;15965
5461;-2419;20288
5506;-1202;16605
5543;-1065;9345
5581;852;1171
5619;700;-776
5667;1400;730
5725;1537;1400
5764;1476;2130
5802;1628;2617
5839;913;3302
5877;-319;4337
5921;-2191;4200
5960;-3317;5037
5998;-3257;5829
6037;-4109;6316
6076;-5494;6849
6116;-6788;6727
6153;-7518;7473
6271;-8644;10334
6309;-10699;13926
6347;-12236;15600
6392;-12526;14824
6430;-12617;14002
6468;-12997;14504
6507;-13621;15463
6544;-13835;16270
6582;-13850;20333
6621;-2861;26071
6659;13211;31581
6697;13271;22053
6735;684;7883
6781;-8066;1034
6819;-7244;-487
6858;-6529;1400
6897;-5951;2039
6935;-5844;2146
6973;-5585;2800
