Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
Remodelista;;0;;1;0;1;1;1;;161;0,24;4460,59;6148,10;4591,07;6399,73;0,61;0,39;0,40;0,60;;7
Remodelista_corrected;;0;;1;0;1;1;1;;161;0,23;5074,66;7291,81;5187,79;7750,28;0,67;0,33;0,39;0,61;;7
