Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;324;1.00;143.20;110.56;145.18;112.15;0.52;0.48;0.48;0.52;;27
filler-1_corrected;;1;;1;1;1;1;1;;324;0.88;324.52;167.76;326.34;170.07;0.25;0.75;0.48;0.52;;27
filler-2;;0;;1;1;0;0;0;;26;1.00;81.69;65.20;82.63;65.28;0.77;0.23;0.08;0.92;;2
filler-2_corrected;;1;;1;1;1;1;1;;26;1.00;202.65;104.64;204.04;105.57;0.35;0.65;0.19;0.81;;2
japanese-translation;;0;;1;0;1;1;0;;17;0.47;269.02;196.00;360.28;268.72;1.00;0.00;0.94;0.06;;1
japanese-translation_corrected;;0;;1;0;1;1;0;;17;0.41;229.85;154.47;265.09;208.83;1.00;0.00;1.00;0.00;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;101;1.00;293.69;71.48;302.94;72.46;0.52;0.48;0.05;0.95;;8
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;101;0.77;574.91;98.49;591.99;102.91;0.46;0.54;0.03;0.97;;8
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;64;0.89;273.42;223.00;274.99;225.09;0.91;0.09;0.42;0.58;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;64;0.86;423.75;267.42;426.68;267.46;0.84;0.16;0.56;0.44;;7
