Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;47;1.00;189.33;115.52;194.06;119.12;0.51;0.49;0.17;0.83;;3
filler-1_corrected;;0;;1;1;1;1;0;;47;1.00;229.22;108.96;234.00;111.53;0.51;0.49;0.06;0.94;;3
filler-2;;0;;1;1;1;1;0;;89;1.00;225.51;143.66;232.83;144.31;0.04;0.96;0.44;0.56;;5
filler-2_corrected;;1;;1;1;1;1;1;;89;0.93;308.63;134.42;314.62;135.61;0.18;0.82;0.18;0.82;;5
FULL_BAY_IrishRecipe_cell4;;0;;1;1;1;1;0;;191;0.98;74.80;205.13;75.89;213.55;0.07;0.93;0.40;0.60;;11
FULL_BAY_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;191;0.91;115.91;190.92;116.05;196.71;0.14;0.86;0.32;0.68;;11
XXX-translation-1;;1;;1;1;1;1;1;;40;1.00;204.36;154.84;210.35;162.44;0.20;0.80;0.75;0.25;;2
XXX-translation-1_corrected;;1;;1;1;1;1;1;;40;0.98;224.36;141.66;228.00;148.60;0.53;0.48;0.73;0.28;;2
3_SHELVES_IrishRecipe_cell4;;1;;1;1;1;1;1;;172;0.92;179.82;188.13;180.47;193.79;0.16;0.84;0.31;0.69;;10
3_SHELVES_IrishRecipe_cell4_corrected;;1;;1;1;1;1;1;;172;0.99;227.13;171.68;228.65;176.81;0.19;0.81;0.24;0.76;;10
XXX-translation-2;;1;;1;1;1;1;1;;34;0.97;215.57;150.71;223.52;171.72;0.32;0.68;0.82;0.18;;2
XXX-translation-2_corrected;;1;;1;1;1;1;1;;34;0.97;235.48;133.76;239.59;152.58;0.79;0.21;0.79;0.21;;2
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;0;;76;1.00;86.35;92.56;86.39;93.08;0.13;0.87;0.99;0.01;;5
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;1;0;0;0;;76;1.00;112.39;81.57;112.56;82.21;0.43;0.57;0.96;0.04;;5
