Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;0;1;1;0;;34;0.41;190.07;365.61;190.20;378.31;0.65;0.35;0.00;1.00;;2
filler-1_corrected;;0;;1;0;1;1;0;;34;0.21;4107.22;12136.70;4161.26;12267.45;0.76;0.24;0.06;0.94;;2
filler-2;;0;;1;0;1;1;0;;68;0.54;310.37;171.72;312.63;176.78;0.69;0.31;0.00;1.00;;4
filler-2_corrected;;0;;1;0;1;1;0;;68;0.09;1933.65;6192.74;1941.40;6268.08;0.74;0.26;0.03;0.97;;4
FULL_BAY_IrishRecipe_cell4;;0;;1;0;1;1;0;;129;0.44;114.96;134.04;114.97;134.14;0.18;0.82;0.00;1.00;;9
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;129;0.07;211.38;631.60;211.38;647.50;0.33;0.67;0.00;1.00;;9
XXX-translation-1;;0;;1;0;1;1;0;;21;0.62;172.52;102.33;175.85;104.18;0.38;0.62;0.00;1.00;;1
XXX-translation-1_corrected;;0;;1;0;1;1;0;;21;0.00;214.21;297.48;220.57;314.67;0.62;0.38;0.00;1.00;;1
3_SHELVES_IrishRecipe_cell4;;0;;1;0;1;1;0;;131;0.25;211.55;105.86;214.55;108.32;0.17;0.83;0.00;1.00;;9
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;131;0.11;416.16;355.09;420.79;355.21;0.21;0.79;0.00;1.00;;9
XXX-translation-2;;0;;1;1;1;1;0;;18;0.67;199.48;106.87;206.66;111.65;0.06;0.94;0.00;1.00;;1
XXX-translation-2_corrected;;0;;1;0;1;1;0;;18;0.00;407.14;388.56;453.00;426.08;0.06;0.94;0.00;1.00;;1
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;0;0;0;;88;0.78;140.47;57.12;143.55;57.47;0.00;1.00;0.00;1.00;;6
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;88;0.02;272.47;192.51;272.86;198.75;0.07;0.93;0.00;1.00;;6
