28;392;1275
85;347;1215
165;224;1114
229;220;1039
299;300;966
358;397;958
423;368;898
500;328;942
565;269;1020
629;382;1511
693;436;1606
757;608;1616
820;657;1414
901;703;1401
970;658;1302
1029;627;1010
1118;676;869
1157;642;850
1237;514;878
1313;427;927
1369;410;982
1429;488;1080
1495;382;1287
1557;233;1409
1644;18;1533
1701;-118;1633
1773;-36;2052
1829;-43;2446
1893;151;2566
1957;121;2860
2042;481;3064
2110;623;2731
2175;732;1890
2233;726;1796
2300;831;1811
2375;804;1991
2441;757;1973
2526;672;1955
2566;665;1847
2629;699;1651
2699;727;1652
2778;730;1719
2839;650;1628
2901;631;1533
2978;673;1448
3030;688;1394
3111;688;1335
3173;586;1315
3237;576;1443
3302;511;1677
3367;358;2682
3430;149;2220
3520;121;1460
3573;201;842
3646;235;802
3702;202;898
3765;185;911
3886;114;1007
3945;55;1094
3985;29;1108
4038;88;1223
4101;183;1221
4166;328;1409
4246;397;1530
4316;465;1702
4373;396;1631
4459;323;1372
4502;324;1495
4582;211;1581
4646;110;1652
4709;76;1493
4773;262;1359
4837;399;1422
4900;502;1452
4989;449;1529
5047;486;1303
5110;458;1164
5174;500;971
5237;528;990
5303;554;1034
5383;537;1082
5446;545;1057
5580;488;1030
5611;427;1126
5649;409;1011
5717;496;863
5781;628;828
5845;643;909
5910;566;966
5973;521;831
6038;502;883
6124;427;909
6230;269;953
6261;233;906
6319;299;864
6375;365;919
6453;284;922
6549;211;960
6592;123;955
6645;179;1097
6710;226;1046
6773;319;1084
6866;277;1031
6918;225;965
6988;277;914
7051;311;777
7108;406;853
7189;332;849
7253;314;827
7317;305;746
7381;335;742
7446;298;842
7509;266;898
7588;225;1854
7707;534;3916
7737;730;5454
7788;458;2396
7845;366;1400
7926;406;1437
7990;461;1292
8053;338;1233
8118;242;1107
8181;195;1013
8246;190;1045
8332;128;1038
8390;64;1251
8454;54;1187
8517;36;1269
8581;-19;1301
