24;530;360
170;540;355
331;559;368
490;565;383
650;575;407
821;605;397
999;603;392
1160;593;399
1318;588;426
1473;579;424
1636;557;417
1788;397;369
1954;240;297
2109;128;213
2273;168;168
2427;227;152
2607;281;165
2749;318;180
2910;378;207
3064;445;197
3224;438;202
3386;357;204
3546;249;201
3703;215;213
3867;248;244
4023;251;301
4204;238;341
4341;266;380
4503;289;361
4662;267;334
4823;210;280
4983;164;269
5142;134;269
5302;120;244
5461;164;205
5622;264;179
5794;331;222
5941;399;268
6102;523;203
6261;630;2
6422;684;-281
6581;502;-421
6741;265;-422
6902;72;-302
