151;11;264
311;9;274
471;-22;287
642;-29;300
793;1;293
951;15;279
1111;-3;253
1272;1;222
1431;44;199
1592;153;196
1751;168;198
1911;167;194
2072;108;178
2242;110;157
2391;126;144
2612;131;141
2711;155;145
2872;76;160
3033;44;168
3191;-7;184
3352;2;182
3511;112;188
3671;126;178
3845;106;181
3992;30;177
4152;-11;180
4312;72;175
4472;95;175
4631;138;187
4845;110;179
4953;120;176
5111;124;161
5271;96;167
5459;75;155
5608;73;169
5768;93;169
5928;99;204
6088;96;193
6247;135;178
6407;160;157
6568;159;162
6728;240;177
6904;402;178
