Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;81;0.80;225.34;145.99;238.92;146.47;0.58;0.42;0.05;0.95;;11
filler-1_corrected;;0;;1;1;1;1;0;;81;0.94;1586.46;294.21;1598.35;295.90;0.95;0.05;0.14;0.86;;11
filler-2;;0;;1;1;1;1;0;;30;0.87;217.21;155.30;222.21;155.96;0.43;0.57;0.00;1.00;;4
filler-2_corrected;;0;;1;1;0;0;0;;30;0.90;176.20;37.83;176.27;37.96;0.93;0.07;0.17;0.83;;4
japanese-translation;;0;;1;1;1;1;0;;12;1.00;209.47;116.30;210.63;126.93;0.83;0.17;0.00;1.00;;1
japanese-translation_corrected;;0;;1;1;1;1;0;;12;0.92;702.35;123.15;727.99;128.44;1.00;0.00;0.17;0.83;;1
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;31;1.00;106.57;60.31;109.09;60.31;0.03;0.97;0.90;0.10;;4
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;0;0;0;;31;0.81;210.31;61.06;210.34;62.38;0.94;0.06;0.03;0.97;;4
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;54;0.96;212.18;93.18;212.48;93.21;0.72;0.28;0.98;0.02;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;0;0;0;;54;0.22;153.59;139.77;153.93;140.53;1.00;0.00;0.04;0.96;;7
