211;0;0
253;0;0
303;214;875
438;-146;746
561;-296;677
719;-286;654
849;-333;626
959;-366;608
1091;-135;668
1237;-44;705
1361;-150;695
1507;-169;700
1635;-346;655
1762;-322;650
1928;-381;613
2055;-299;612
2169;-297;592
2318;-162;610
2445;55;680
2561;122;719
2707;50;728
2838;-4;718
2959;-15;709
3121;-60;687
3235;-146;652
3372;-109;645
3507;-182;623
3636;-229;609
3765;-370;585
3903;-302;618
4035;-202;663
4191;8;788
4311;-187;745
4440;-275;715
4558;-346;646
4717;-231;674
4837;-218;692
4962;-117;728
5106;225;820
5236;105;778
5396;-94;704
5507;-298;626
5641;-155;639
5763;13;673
5907;60;686
6057;78;701
6163;12;696
6306;26;696
6492;-130;651
6563;-210;623
6709;-275;599
6840;-139;631
6961;-143;635
7108;-133;651
