Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;0;0;0;;286;0.97;119.74;25.13;119.91;25.56;0.01;0.99;0.94;0.06;;17
filler-1_corrected;;0;;1;1;1;1;0;;286;0.99;901.49;127.23;903.20;127.46;0.00;1.00;0.00;1.00;;17
filler-2;;0;;1;1;0;0;0;;109;1.00;95.56;20.44;97.71;20.54;0.00;1.00;0.94;0.06;;6
filler-2_corrected;;0;;1;1;0;0;0;;109;1.00;69.37;6.64;69.39;6.64;0.01;0.99;0.00;1.00;;6
japanese-translation;;0;;1;1;0;0;0;;37;1.00;54.75;27.39;57.41;27.95;0.00;1.00;0.97;0.03;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;37;1.00;35.88;3.04;35.88;3.04;0.00;1.00;0.00;1.00;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;69;1.00;328.31;98.91;331.88;98.94;0.71;0.29;0.06;0.94;;5
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;1;;69;0.48;907.43;153.13;940.08;153.17;0.71;0.29;0.13;0.87;;5
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;85;0.93;231.64;212.98;231.77;217.02;0.82;0.18;0.51;0.49;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;85;0.88;634.80;368.14;635.42;384.20;0.78;0.22;0.62;0.38;;7
