Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;130;0.98;306.53;132.75;323.39;132.86;0.38;0.62;0.22;0.78;;9
filler-1_corrected;;1;;1;1;1;1;1;;130;0.93;348.03;216.66;364.21;218.20;0.43;0.57;0.42;0.58;;9
filler-2;;0;;1;1;1;1;0;;73;0.96;181.77;122.15;190.24;127.53;0.04;0.96;0.07;0.93;;5
filler-2_corrected;;1;;1;1;1;1;1;;73;0.88;219.18;214.27;245.32;227.26;0.16;0.84;0.26;0.74;;5
japanese-translation;;0;;1;1;0;0;0;;25;1.00;74.69;87.01;76.51;89.99;0.00;1.00;0.12;0.88;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;25;1.00;83.96;130.12;84.25;133.19;0.08;0.92;0.28;0.72;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;1;1;0;;68;0.93;202.30;94.25;207.62;95.38;0.13;0.87;0.00;1.00;;6
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;1;1;1;0;;68;0.78;264.25;188.92;267.69;192.54;0.21;0.79;0.00;1.00;;6
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;61;0.98;207.17;164.33;207.44;165.64;0.03;0.97;0.07;0.93;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;61;0.92;213.14;238.10;213.45;238.39;0.41;0.59;0.36;0.64;;7
