143;0.004;0.006;0.958;0.003;0.021;0.003;0.004;
271;0.864;0.004;0.098;0.006;0.019;0.002;0.008;
415;0.272;0.009;0.595;0.008;0.049;0.006;0.060;
527;0.042;0.006;0.900;0.003;0.028;0.003;0.017;
623;0.020;0.005;0.939;0.003;0.021;0.003;0.009;
763;0.007;0.003;0.971;0.001;0.012;0.002;0.004;
943;0.011;0.009;0.929;0.007;0.032;0.005;0.007;
1045;0.798;0.004;0.117;0.013;0.018;0.002;0.049;
1194;0.489;0.009;0.296;0.101;0.064;0.007;0.034;
1306;0.185;0.032;0.379;0.123;0.187;0.043;0.052;
1438;0.063;0.027;0.316;0.188;0.349;0.031;0.027;
1658;0.045;0.023;0.226;0.219;0.452;0.023;0.013;
1777;0.806;0.005;0.112;0.020;0.017;0.003;0.037;
1870;0.301;0.025;0.239;0.207;0.134;0.019;0.076;
2018;0.134;0.035;0.308;0.279;0.162;0.030;0.052;
2107;0.071;0.027;0.209;0.337;0.304;0.024;0.028;
2340;0.048;0.018;0.143;0.257;0.506;0.014;0.014;
2435;0.789;0.010;0.087;0.007;0.074;0.007;0.026;
2584;0.424;0.041;0.160;0.047;0.232;0.044;0.053;
2704;0.173;0.069;0.169;0.106;0.359;0.078;0.046;
2975;0.074;0.058;0.093;0.141;0.547;0.067;0.020;
3190;0.907;0.007;0.042;0.016;0.008;0.005;0.014;
3301;0.203;0.031;0.027;0.186;0.486;0.052;0.015;
3396;0.092;0.042;0.026;0.056;0.719;0.057;0.009;
3659;0.039;0.026;0.018;0.088;0.782;0.041;0.005;
3782;0.814;0.007;0.038;0.031;0.095;0.005;0.010;
3884;0.196;0.014;0.022;0.407;0.323;0.030;0.008;
4063;0.058;0.007;0.010;0.173;0.732;0.016;0.004;
4249;0.029;0.009;0.012;0.357;0.560;0.030;0.004;
4340;0.910;0.012;0.037;0.003;0.018;0.004;0.017;
4507;0.774;0.025;0.037;0.007;0.127;0.020;0.009;
4622;0.417;0.074;0.079;0.033;0.326;0.056;0.015;
4797;0.316;0.100;0.150;0.041;0.202;0.159;0.032;
4943;0.604;0.031;0.108;0.011;0.144;0.017;0.085;
5063;0.518;0.035;0.158;0.025;0.165;0.040;0.060;
5154;0.206;0.050;0.122;0.110;0.418;0.058;0.035;
