Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;75;0.97;230.87;164.14;231.18;168.35;0.28;0.72;0.85;0.15;;5
filler-1_corrected;;0;;1;1;1;1;0;;75;0.95;463.95;267.66;468.41;272.88;0.49;0.51;0.92;0.08;;5
filler-2;;1;;1;1;1;1;1;;81;0.98;220.73;218.95;227.54;224.18;0.28;0.72;0.44;0.56;;5
filler-2_corrected;;1;;1;1;1;1;1;;81;0.94;216733.08;153091.51;218071.32;154040.03;0.37;0.63;0.52;0.48;;5
japanese-translation;;1;;1;1;1;1;1;;42;0.67;436.45;378.09;483.88;427.43;0.55;0.45;0.50;0.50;;3
japanese-translation_corrected;;1;;1;1;1;1;1;;42;0.67;929.05;786.71;1049.59;917.16;0.86;0.14;0.62;0.38;;3
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;56;0.98;348.28;185.69;360.22;186.13;0.21;0.79;0.29;0.71;;4
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;56;0.84;487.11;219.06;489.89;221.06;0.25;0.75;0.55;0.45;;4
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;1;;59;0.95;189.22;168.87;191.01;170.42;0.51;0.49;0.29;0.71;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;59;0.93;483.37;631.99;485.83;646.17;0.86;0.14;0.61;0.39;;7
