86;444;1329
175;371;1075
274;425;1070
357;391;1107
438;416;1221
518;421;1259
599;573;1296
680;1696;2121
760;6502;5646
841;-1038;-477
924;-577;131
1005;6030;80
1110;586;497
1192;294;654
1273;571;1229
1353;999;1831
1434;3534;4845
1514;1028;1621
1595;855;1101
1675;639;1273
1755;1110;1754
1834;932;1799
1934;975;1764
2014;898;1626
2094;1067;1802
2173;1548;1187
2254;1512;1307
2333;-16627;-8455
2414;3824;4512
2494;1109;1700
2575;561;925
2654;2133;672
2754;-3454;505
2833;7523;3784
