Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;118;0.86;306.94;255.81;324.78;260.23;0.68;0.32;0.07;0.93;;10
filler-1_corrected;;0;;1;0;1;1;1;;118;0.25;10234.48;26851.46;10282.23;27020.79;0.39;0.61;0.36;0.64;;10
filler-2;;0;;1;1;0;0;1;;92;1.00;175.10;58.62;175.29;59.11;0.51;0.49;0.13;0.87;;8
filler-2_corrected;;0;;1;0;1;1;1;;92;0.51;40147.82;29549.52;40547.91;29877.60;0.15;0.85;0.22;0.78;;8
1.reference-lSRP-Right-shelf;;0;;1;1;0;0;0;;243;1.00;252.71;80.61;252.73;81.60;0.48;0.52;0.05;0.95;;20
1.reference-lSRP-Right-shelf_corrected;;0;;1;0;1;1;1;;243;0.23;55385.54;55653.85;55393.23;55654.07;0.39;0.61;0.35;0.65;;20
translation-far;;0;;1;1;0;0;0;;23;1.00;100.71;52.74;102.90;52.94;0.83;0.17;0.00;1.00;;2
translation-far_corrected;;0;;1;0;1;1;0;;23;0.39;4428.56;6978.73;4500.16;7062.20;0.22;0.78;0.09;0.91;;2
1.Shabam-Marketing-reference;;1;;1;1;1;1;1;;695;0.84;475.29;152.53;487.44;154.23;0.61;0.39;0.21;0.79;;60
1.Shabam-Marketing-reference_corrected;;0;;1;0;1;1;1;;695;0.15;24312.44;43760.49;24327.11;43766.36;0.58;0.42;0.54;0.46;;60
1.lSRP-pepper-individual;;0;;1;1;0;0;0;;42;1.00;181.49;33.75;181.72;33.82;0.71;0.29;0.00;1.00;;3
1.lSRP-pepper-individual_corrected;;0;;1;0;1;1;0;;42;0.02;10499.10;14069.54;10504.49;14074.70;0.17;0.83;0.02;0.98;;3
1-Shabam-reference-individual;;0;;1;1;0;0;0;;38;1.00;148.06;49.44;149.60;49.45;0.74;0.26;0.00;1.00;;3
1-Shabam-reference-individual_corrected;;0;;1;0;1;1;1;;38;0.13;7425.90;12662.39;7478.27;12755.06;0.32;0.68;0.16;0.84;;3
translation-individual;;0;;1;1;0;0;0;;26;1.00;110.75;76.66;111.75;78.54;0.88;0.12;0.00;1.00;;2
translation-individual_corrected;;0;;1;0;1;1;1;;26;0.15;18475.06;37152.68;18942.41;38030.47;0.42;0.58;0.19;0.81;;2
