Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;122;0.99;299.51;123.41;300.34;123.41;0.47;0.53;0.13;0.87;;8
filler-1_corrected;;1;;1;1;1;1;1;;122;0.95;306.83;196.62;307.29;197.10;0.51;0.49;0.57;0.43;;8
filler-2;;0;;1;1;1;1;0;;61;1.00;173.35;97.97;192.35;98.16;0.28;0.72;0.00;1.00;;4
filler-2_corrected;;1;;1;1;1;1;1;;61;1.00;200.31;159.76;212.19;160.40;0.34;0.66;0.51;0.49;;4
japanese-translation;;0;;1;1;0;0;0;;25;1.00;114.70;45.80;115.03;45.90;0.44;0.56;0.00;1.00;;2
japanese-translation_corrected;;0;;1;1;0;0;1;;25;1.00;135.52;79.50;135.66;79.63;0.60;0.40;0.20;0.80;;2
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;148;0.97;294.34;105.91;323.32;106.20;0.14;0.86;0.21;0.79;;10
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;148;0.78;448.57;286.00;468.86;296.30;0.24;0.76;0.37;0.63;;10
20170206-VL-Japan-3d-cell4;;0;;1;1;0;0;0;;104;0.97;149.85;140.92;150.09;140.92;0.04;0.96;0.08;0.92;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;104;0.91;277.05;380.88;278.65;383.78;0.40;0.60;0.26;0.74;;7
