Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;69;0.93;227.90;133.00;228.59;134.98;0.90;0.10;0.29;0.71;;8
filler-1_corrected;;1;;1;1;1;1;1;;69;0.93;210.70;165.51;210.76;168.38;0.90;0.10;0.33;0.67;;8
filler-2;;1;;1;1;1;1;1;;36;0.97;181.29;126.33;181.39;126.35;0.89;0.11;0.22;0.78;;4
filler-2_corrected;;1;;1;1;1;1;1;;36;0.97;166.34;154.94;166.84;155.00;0.89;0.11;0.28;0.72;;4
FULL_BAY_IrishRecipe_cell4;;0;;1;0;1;1;0;;73;0.51;147.01;104.18;151.91;106.33;0.05;0.95;0.90;0.10;;9
FULL_BAY_IrishRecipe_cell4_corrected;;0;;1;0;1;1;0;;73;0.51;131.90;113.89;134.05;116.75;0.05;0.95;0.89;0.11;;9
XXX-translation-1;;0;;1;1;0;0;0;;17;1.00;70.53;41.02;71.65;41.04;0.00;1.00;1.00;0.00;;2
XXX-translation-1_corrected;;0;;1;1;0;0;0;;17;1.00;59.46;44.34;60.65;44.35;0.00;1.00;1.00;0.00;;2
3_SHELVES_IrishRecipe_cell4;;0;;1;1;1;1;0;;72;0.90;196.36;133.70;203.75;143.15;0.00;1.00;0.35;0.65;;8
3_SHELVES_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;72;1.00;158.91;155.13;163.95;167.32;0.00;1.00;0.35;0.65;;8
XXX-translation-2;;0;;1;1;0;0;0;;15;1.00;165.67;68.77;176.13;68.80;0.00;1.00;0.40;0.60;;2
XXX-translation-2_corrected;;0;;1;1;0;0;0;;15;1.00;138.36;81.75;146.74;81.87;0.00;1.00;0.40;0.60;;2
PRODUCT_SHOT_skinless_IrishRecipe_cell4;;0;;1;1;1;1;0;;50;0.80;163.80;128.75;165.52;128.77;0.00;1.00;0.70;0.30;;7
PRODUCT_SHOT_skinless_IrishRecipe_cell4_corrected;;0;;1;1;1;1;0;;50;0.86;132.91;150.22;135.96;150.24;0.00;1.00;0.64;0.36;;7
