Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
prod_cell1;;1;;1;1;1;1;1;;433;1.00;185.54;1160.38;186.40;1179.00;0.58;0.42;0.65;0.35;;60
prod_cell1_corrected;;0;;1;0;1;1;1;;433;0.42;6450.28;2165.43;6450.89;2177.10;0.26;0.74;0.69;0.31;;60
task2_prod_cell1;;1;;1;1;1;1;1;;359;1.00;177.07;955.11;179.93;997.92;0.40;0.60;0.81;0.19;;48
task2_prod_cell1_corrected;;1;;1;1;1;1;1;;359;0.80;1903.51;1000.14;1939.99;1034.74;0.57;0.43;0.74;0.26;;48
Cell1_22_Yokids_CherryBerryBase;;1;;1;1;1;1;1;;284;0.99;232.65;1028.28;232.78;1082.87;0.29;0.71;0.77;0.23;;39
Cell1_22_Yokids_CherryBerryBase_corrected;;1;;1;1;1;1;1;;284;0.77;530.93;1031.81;546.27;1078.51;0.25;0.75;0.75;0.25;;39
Cell1_12_YoBaby_Banana_Mango;;0;;1;1;0;0;0;;26;1.00;191.22;168.73;194.51;171.25;0.31;0.69;1.00;0.00;;4
Cell1_12_YoBaby_Banana_Mango_corrected;;0;;1;1;0;0;0;;26;0.96;457.26;162.48;460.47;165.22;0.31;0.69;1.00;0.00;;4
Cell1_11_Light_Fit_vanilla;;0;;1;1;0;0;0;;21;1.00;159.57;181.43;161.05;181.72;0.38;0.62;1.00;0.00;;3
Cell1_11_Light_Fit_vanilla_corrected;;0;;1;1;0;0;0;;21;1.00;221.03;172.67;222.25;172.74;0.24;0.76;1.00;0.00;;3
Cell1_21_Light_Fit_Strawberry;;0;;1;1;0;0;0;;27;1.00;158.08;144.85;162.84;147.20;0.33;0.67;1.00;0.00;;4
Cell1_21_Light_Fit_Strawberry_corrected;;0;;1;1;0;0;0;;27;0.96;323.54;156.64;352.25;158.86;0.37;0.63;1.00;0.00;;4
peapodB;;0;;1;1;1;1;0;;125;1.00;169.24;528.89;169.31;528.95;0.30;0.70;0.98;0.02;;17
peapodB_corrected;;0;;1;1;1;1;0;;125;0.94;380.79;535.48;386.20;535.74;0.40;0.60;0.97;0.03;;17
TargetC;;0;;1;1;1;1;0;;155;1.00;169.79;818.08;170.09;829.99;0.57;0.43;1.00;0.00;;21
TargetC_corrected;;0;;1;1;1;1;0;;155;0.67;625.48;827.79;641.61;832.94;0.72;0.28;1.00;0.00;;21
