Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;182;0.98;252.02;147.51;268.86;148.77;0.47;0.53;0.93;0.07;;14
filler-1_corrected;;1;;1;1;1;1;1;;182;0.70;248.90;398.37;252.38;409.09;0.40;0.60;0.66;0.34;;14
filler-2;;0;;1;0;1;1;0;;39;0.59;217.99;160.61;239.76;163.46;0.23;0.77;1.00;0.00;;3
filler-2_corrected;;0;;1;0;1;1;1;;39;0.36;1168.54;18803.31;1168.56;18812.17;0.46;0.54;0.77;0.23;;3
japanese-translation;;0;;1;1;0;0;0;;25;0.92;100.73;111.61;101.69;117.53;0.68;0.32;1.00;0.00;;2
japanese-translation_corrected;;1;;1;1;1;1;1;;25;0.84;393.33;3689.47;399.74;3823.47;0.56;0.44;0.88;0.12;;2
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;63;0.98;301.34;138.07;310.12;138.10;0.63;0.37;0.70;0.30;;5
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;63;0.90;247.82;366.49;248.33;375.28;0.56;0.44;0.27;0.73;;5
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;67;0.96;194.87;155.78;198.07;156.21;0.90;0.10;0.93;0.07;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;0;1;1;1;;67;0.54;437.59;799.05;439.58;839.04;0.84;0.16;0.90;0.10;;7
