Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;1;1;1;1;0;;133;0.96;289.60;121.79;291.48;124.04;0.65;0.35;0.10;0.90;;8
filler-1_corrected;;1;;1;1;1;1;1;;133;0.88;336.36;242.64;336.71;242.65;0.35;0.65;0.62;0.38;;8
filler-2;;0;;1;1;1;1;0;;117;0.85;346.53;101.65;354.73;104.83;0.69;0.31;0.00;1.00;;7
filler-2_corrected;;1;;1;1;1;1;1;;117;0.83;2320.49;6192.97;2331.63;6245.77;0.54;0.46;0.62;0.38;;7
japanese-translation;;0;;1;1;0;0;0;;25;0.96;212.35;83.18;217.47;84.64;0.88;0.12;0.00;1.00;;2
japanese-translation_corrected;;0;;1;1;0;0;0;;25;0.92;79.90;656.40;80.37;678.85;0.08;0.92;0.32;0.68;;2
20170206-VL-Japan-shelftask-cell4;;0;;1;1;0;0;0;;242;0.89;373.40;64.77;373.45;64.99;0.24;0.76;0.00;1.00;;15
20170206-VL-Japan-shelftask-cell4_corrected;;0;;1;0;1;1;0;;242;0.21;512.13;647.72;515.50;663.76;0.34;0.66;0.02;0.98;;15
20170206-VL-Japan-3d-cell4;;0;;1;1;1;1;0;;77;0.99;206.31;123.76;209.72;123.92;0.27;0.73;0.01;0.99;;7
20170206-VL-Japan-3d-cell4_corrected;;0;;1;1;1;1;0;;77;0.82;271.28;396.04;278.90;400.82;0.09;0.91;0.21;0.79;;7
