Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;0;;0;1;1;1;1;;7;1.00;170.01;127.17;178.12;129.39;0.29;0.71;0.43;0.57;;1
filler-1_corrected;;0;;0;1;1;1;1;;7;0.71;390.45;408.83;436.18;408.89;0.71;0.29;0.43;0.57;;1
filler-2;;0;;0;1;0;0;0;;4;1.00;25.80;17.27;26.00;17.45;0.00;1.00;0.00;1.00;;1
filler-2_corrected;;0;;0;1;0;0;0;;4;1.00;46.41;39.67;46.70;39.76;1.00;0.00;0.00;1.00;;1
1.reference-lSRP-Right-shelf;;0;;0;1;0;0;0;;9;1.00;119.81;31.89;120.68;34.15;0.56;0.44;0.00;1.00;;2
1.reference-lSRP-Right-shelf_corrected;;0;;0;1;1;1;1;;9;1.00;176.08;93.67;181.28;104.41;0.89;0.11;0.56;0.44;;2
translation-far;;0;;0;1;0;0;0;;7;1.00;81.26;22.45;83.59;23.13;0.14;0.86;0.00;1.00;;1
translation-far_corrected;;0;;0;1;0;0;1;;7;1.00;137.16;62.21;142.10;66.52;0.71;0.29;0.14;0.86;;1
1.Shabam-Marketing-reference;;0;;1;1;0;0;0;;40;1.00;245.75;54.59;254.90;54.61;0.25;0.75;0.00;1.00;;8
1.Shabam-Marketing-reference_corrected;;0;;1;1;1;1;0;;40;0.78;434.50;221.54;434.69;222.71;0.58;0.43;0.00;1.00;;8
1.lSRP-pepper-individual;;0;;0;1;0;0;0;;9;1.00;120.87;72.45;143.26;76.46;0.11;0.89;0.00;1.00;;2
1.lSRP-pepper-individual_corrected;;0;;0;0;1;1;0;;9;0.33;294.78;265.73;334.93;282.05;0.67;0.33;0.00;1.00;;2
1-Shabam-reference-individual;;0;;0;0;0;0;0;;8;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;;1
1-Shabam-reference-individual_corrected;;0;;0;0;0;0;0;;8;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;;1
translation-individual;;0;;0;0;0;0;0;;8;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;;1
translation-individual_corrected;;0;;0;0;0;0;0;;8;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;;1
