131;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
201;0.000;0.000;0.000;0.000;0.000;0.000;0.000;
546;0.075;0.009;0.407;0.004;0.008;0.405;0.092;
901;0.239;0.079;0.109;0.032;0.028;0.219;0.295;
989;0.041;0.004;0.072;0.001;0.002;0.867;0.013;
1056;0.139;0.022;0.396;0.019;0.010;0.016;0.397;
1177;0.637;0.032;0.072;0.066;0.023;0.005;0.165;
1281;0.789;0.012;0.092;0.012;0.003;0.003;0.090;
1427;0.719;0.011;0.116;0.004;0.001;0.006;0.143;
1542;0.831;0.010;0.085;0.012;0.001;0.004;0.056;
1633;0.341;0.019;0.198;0.011;0.005;0.013;0.413;
1744;0.838;0.018;0.040;0.004;0.002;0.008;0.089;
1872;0.420;0.025;0.065;0.004;0.005;0.019;0.461;
2001;0.291;0.021;0.315;0.018;0.009;0.050;0.295;
2137;0.294;0.024;0.220;0.016;0.009;0.037;0.400;
2224;0.630;0.015;0.191;0.006;0.003;0.010;0.146;
2355;0.201;0.030;0.257;0.020;0.011;0.037;0.444;
2461;0.107;0.017;0.103;0.006;0.003;0.015;0.750;
2575;0.281;0.023;0.136;0.009;0.005;0.015;0.531;
2699;0.085;0.014;0.108;0.004;0.003;0.025;0.760;
2800;0.449;0.015;0.190;0.008;0.004;0.014;0.320;
2912;0.468;0.015;0.216;0.007;0.003;0.019;0.271;
3055;0.641;0.010;0.273;0.002;0.001;0.005;0.069;
3152;0.155;0.022;0.168;0.010;0.006;0.031;0.608;
3274;0.266;0.047;0.142;0.010;0.005;0.010;0.520;
3392;0.490;0.021;0.114;0.004;0.003;0.016;0.351;
3524;0.304;0.049;0.214;0.015;0.009;0.024;0.385;
3616;0.259;0.048;0.217;0.014;0.011;0.034;0.417;
3744;0.091;0.029;0.191;0.010;0.007;0.028;0.644;
3855;0.233;0.043;0.167;0.010;0.008;0.035;0.504;
3971;0.279;0.052;0.332;0.031;0.018;0.061;0.225;
4099;0.080;0.025;0.186;0.010;0.007;0.040;0.652;
4208;0.049;0.013;0.128;0.004;0.003;0.054;0.748;
4320;0.101;0.028;0.273;0.013;0.009;0.041;0.534;
4454;0.157;0.034;0.342;0.019;0.012;0.044;0.392;
4544;0.048;0.013;0.104;0.005;0.003;0.022;0.805;
4682;0.514;0.028;0.214;0.033;0.007;0.012;0.193;
4795;0.302;0.058;0.157;0.019;0.011;0.014;0.438;
4895;0.343;0.062;0.126;0.011;0.007;0.014;0.438;
5036;0.144;0.037;0.249;0.020;0.009;0.025;0.516;
5152;0.123;0.032;0.238;0.017;0.008;0.021;0.559;
