Stimulus;;Usable;;Enough_Points;Good_InRatio;Good_Deviation;Good_Dev_Median;Good_Halves;;Points_No;InRatio;Dev_X;Dev_Y;Dev_X_Med;Dev_Y_Med;leftHalf;rightHalf;upHalf;downHalf;;duration
filler-1;;1;;1;1;1;1;1;;38;0.74;345.28;181.20;360.26;190.54;0.26;0.74;0.55;0.45;;7
filler-1_corrected;;1;;1;1;1;1;1;;38;0.71;3669.52;4622.16;3702.76;4661.93;0.47;0.53;0.84;0.16;;7
filler-2;;0;;1;1;0;0;0;;27;0.81;157.32;51.89;157.49;52.75;0.00;1.00;0.59;0.41;;4
filler-2_corrected;;0;;1;1;0;0;0;;27;0.89;264.25;60.13;267.49;61.62;0.30;0.70;1.00;0.00;;4
japanese-translation;;0;;1;1;1;1;0;;14;0.93;196.02;95.93;210.19;98.34;0.00;1.00;0.43;0.57;;2
japanese-translation_corrected;;0;;1;1;1;1;0;;14;0.93;684.88;342.96;727.62;350.38;0.64;0.36;0.93;0.07;;2
20170206-VL-Japan-shelftask-cell4;;1;;1;1;1;1;1;;58;0.97;397.18;112.34;397.23;112.34;0.41;0.59;0.19;0.81;;11
20170206-VL-Japan-shelftask-cell4_corrected;;1;;1;1;1;1;1;;58;0.84;718.37;364.17;746.90;378.06;0.71;0.29;0.78;0.22;;11
20170206-VL-Japan-3d-cell4;;1;;1;1;1;1;1;;27;0.78;656.74;278.83;663.06;280.92;0.26;0.74;0.56;0.44;;7
20170206-VL-Japan-3d-cell4_corrected;;1;;1;1;1;1;1;;27;0.70;4784.44;1319.23;4910.66;1354.81;0.67;0.33;0.89;0.11;;7
