5;915;224
40;925;275
77;905;285
116;900;267
152;862;276
189;890;296
227;850;326
263;865;315
302;811;344
348;852;350
384;835;299
422;830;275
459;777;308
496;695;407
533;693;418
568;669;385
601;666;325
633;660;393
665;652;426
706;637;489
739;586;440
772;630;379
805;707;383
838;762;370
871;747;339
903;719;343
936;715;300
968;681;341
1002;655;255
1043;615;290
1076;639;316
1109;639;360
1142;695;393
1175;721;410
1207;752;390
1240;667;363
1274;631;352
1307;604;339
1340;646;299
1381;670;258
1414;670;325
1447;659;339
1479;623;424
1512;616;428
1545;635;503
1577;680;500
1610;718;458
1643;727;451
1676;714;425
1717;651;461
1749;639;441
1782;620;402
1815;705;400
1848;720;397
1882;743;395
1915;720;339
