228;1382;172
278;1275;248
330;1289;239
396;1255;296
452;1252;214
503;1148;355
575;1063;386
644;1049;454
695;1089;372
799;1052;321
855;843;324
920;680;180
986;629;50
1052;640;-81
1105;713;-11
1172;634;90
1227;578;155
1289;516;56
1355;505;67
1412;553;8
1464;434;5
1529;327;0
1588;205;112
1642;389;205
1708;617;138
1766;866;253
1817;1365;821
1893;1619;1724
1951;1667;1348
2002;1337;680
2070;1199;-217
2165;1134;28
2217;1202;248
2282;897;454
2342;900;550
2419;818;696
2483;1230;601
2551;1249;722
2679;1351;547
2745;1235;578
2804;1416;442
2925;1376;417
2991;1309;648
3050;1114;784
3103;962;1032
3169;1072;1069
3228;1032;1055
3293;1069;1001
3360;815;1001
3420;713;761
3513;764;609
3581;1089;327
3651;1261;488
3730;1255;471
3801;1075;626
3860;1120;547
3912;1241;643
3989;1413;547
4047;1360;564
4099;1266;572
4166;1029;530
4224;970;595
4303;939;606
4368;705;654
4427;708;519
4479;919;383
4546;1323;341
4615;1557;440
4667;1427;451
4734;1506;383
4791;1365;389
4844;1218;363
4946;1249;332
