58;767;516
131;657;480
213;510;392
279;373;322
346;317;294
417;301;302
491;409;326
545;518;327
597;640;323
652;654;332
723;672;383
776;708;435
853;717;515
906;722;538
974;669;520
1036;624;502
1105;531;522
1181;524;573
1240;465;564
1313;418;528
1366;356;480
1430;351;468
1507;361;466
1561;405;498
1638;500;496
1704;558;522
1773;596;515
1844;574;528
1901;629;496
1972;600;460
2051;617;426
2104;562;407
2180;570;392
2230;605;386
2293;679;387
2364;724;420
2425;711;438
2512;636;405
2575;573;337
2639;528;267
2701;512;234
2765;405;229
2841;298;200
2898;164;339
2969;259;526
3034;265;498
3099;372;270
3172;311;46
3230;299;113
3290;249;188
3360;245;175
3436;276;124
3514;310;128
3614;354;155
3669;386;201
3732;397;224
3797;361;270
3864;355;321
3930;353;362
3994;401;428
4073;448;451
4137;511;506
4219;561;518
4281;588;505
4342;657;505
4409;685;505
4463;704;522
4518;673;520
4577;666;518
4633;660;553
4685;680;539
4743;679;563
4836;711;565
4887;703;591
4952;712;573
5020;711;539
5087;744;484
5148;782;445
5226;804;419
5310;773;421
5360;734;451
5415;712;487
5509;727;517
5559;777;525
5615;767;507
5688;777;486
5752;781;421
5823;804;421
5879;821;434
5943;796;441
6007;813;428
6073;784;430
6165;762;474
6214;704;481
6286;697;472
6342;692;455
6406;709;444
6480;711;426
6535;705;462
6621;681;500
6677;627;527
6742;589;500
6818;591;513
6924;581;544
6976;591;551
7029;596;498
7105;670;464
7158;717;503
7211;746;539
7285;759;558
7336;668;616
7399;621;803
7476;498;795
