28;205;286
79;193;289
142;221;296
205;209;334
269;217;364
333;179;394
408;146;405
477;37;401
542;-29;363
611;-3;344
676;50;353
747;90;379
810;36;426
878;-216;669
949;-925;2168
1017;-1824;3578
1090;-688;2073
1144;-172;760
1212;0;540
1267;48;474
1342;73;446
1404;58;462
1472;27;442
1534;-17;406
1598;0;372
1662;-133;632
1739;-110;1223
1816;-364;1495
1878;-21;766
1943;5;394
2005;72;375
2074;32;506
2126;74;583
2191;88;693
2294;171;665
2343;166;691
2412;198;668
2461;180;666
2527;72;672
2591;96;527
2654;91;427
2735;185;325
2799;237;321
2863;246;314
2929;206;303
2991;213;270
3066;250;243
3119;382;225
3224;441;187
3272;477;183
3329;451;179
3390;426;220
3459;389;528
3519;202;717
3597;172;563
3662;194;250
3738;219;171
3790;165;234
3854;196;251
3920;244;273
3983;272;294
4114;247;284
4179;200;287
4230;122;289
4283;56;286
4332;3;312
4395;134;322
4447;161;352
4528;197;353
4597;42;382
4655;-14;415
4719;-38;442
4782;-18;428
4845;39;406
4923;127;359
4997;199;397
5076;197;764
5139;-26;870
5195;87;528
5247;134;204
5310;162;167
5373;61;213
5496;-56;234
5545;-142;241
5594;-148;247
5656;-109;258
5725;-29;269
5783;-85;316
5846;-115;318
5927;-123;312
5998;-93;288
6048;-74;290
6110;-47;270
6174;3;262
6239;77;243
6302;130;240
6395;164;230
6466;153;270
6515;145;316
6584;94;408
6643;54;460
6714;-28;497
6789;-35;508
6856;44;467
6914;161;419
6979;222;377
